"Status","Year","Organisation","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","East Ayrshire and North Ayrshire mainland","Outside London","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Glasgow City","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","85","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Bristol, City of","Outside London","55","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Cardiff and Vale of Glamorgan","Outside London","95","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Glasgow City","Outside London","105","95","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Leeds","Outside London","70","65","31800","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Manchester","Outside London","145","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","North Hampshire","Outside London","30","30","34660","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Nottingham","Outside London","95","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Suffolk","Outside London","40","35","34060","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Tyneside","Outside London","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Westminster","London","200","195","42390","38670"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Aberdeen City and Aberdeenshire","Outside London","10","10","38580","36970"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Bristol, City of","Outside London","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Caithness and Sutherland and Ross and Cromarty","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cambridgeshire CC","Outside London","25","20","30650","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cardiff and Vale of Glamorgan","Outside London","85","85","27960","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Central Hampshire","Outside London","25","25","31720","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cheshire East","Outside London","35","30","32670","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Outside London","55","55","32700","26520"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Devon CC","Outside London","205","195","27290","21050"
