"Status","Year","Parent_department","Profession_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","London","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","Heterosexual / straight","50","50","44280","39750"
"In post","2021","Attorney General's Departments","Communications","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Heterosexual / straight","180","180","45850","40140"
"In post","2021","Attorney General's Departments","Counter Fraud","London","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","Unknown","75","75","45450","40270"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Heterosexual / straight","60","60","44860","40170"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","Heterosexual / straight","80","75","37870","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","Heterosexual / straight","50","50","40990","32310"
