"Status","Year","Age","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Outside London","60","55","21390","20980"
"In post","2021","16-19","East of England","Outside London","55","55","22820","21430"
"In post","2021","16-19","London","London","155","150","25180","24640"
"In post","2021","16-19","North East (England)","Outside London","95","90","21080","20610"
"In post","2021","16-19","North West (England)","Outside London","145","135","21040","21010"
"In post","2021","16-19","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Outside London","175","170","20670","20760"
"In post","2021","16-19","South East (England)","Outside London","125","125","22050","21430"
"In post","2021","16-19","South West (England)","Outside London","180","180","18850","18870"
"In post","2021","16-19","Unknown","Unknown","40","40","19120","15940"
"In post","2021","16-19","Wales","Outside London","135","125","20310","20140"
"In post","2021","16-19","West Midlands (England)","Outside London","60","55","21390","20980"
"In post","2021","16-19","Yorkshire and The Humber","Outside London","100","100","21210","20880"
"In post","2021","20-29","East Midlands (England)","Outside London","3010","2955","25330","25200"
"In post","2021","20-29","East of England","Outside London","2870","2815","26550","25850"
"In post","2021","20-29","London","London","23005","22865","35830","33210"
"In post","2021","20-29","North East (England)","Outside London","3930","3835","24930","23970"
"In post","2021","20-29","North West (England)","Outside London","8350","8180","25560","24890"
"In post","2021","20-29","Northern Ireland","Outside London","425","405","23340","20310"
"In post","2021","20-29","Overseas","Overseas","310","310","37350","34220"
"In post","2021","20-29","Scotland","Outside London","6520","6385","26230","25410"
"In post","2021","20-29","South East (England)","Outside London","5725","5650","27240","27130"
"In post","2021","20-29","South West (England)","Outside London","7050","6945","27200","26670"
"In post","2021","20-29","Unknown","Unknown","890","890","29890","29250"
"In post","2021","20-29","Wales","Outside London","5250","5130","25540","23830"
"In post","2021","20-29","West Midlands (England)","Outside London","4290","4210","25400","24830"
"In post","2021","20-29","Yorkshire and The Humber","Outside London","5800","5710","26200","25300"
"In post","2021","30-39","East Midlands (England)","Outside London","4240","3960","28820","27370"
"In post","2021","30-39","East of England","Outside London","4060","3810","30300","29270"
"In post","2021","30-39","London","London","24320","23570","45710","41970"
"In post","2021","30-39","North East (England)","Outside London","6210","5775","28130","25560"
"In post","2021","30-39","North West (England)","Outside London","12060","11380","29180","27370"
"In post","2021","30-39","Northern Ireland","Outside London","830","790","28130","25560"
"In post","2021","30-39","Overseas","Overseas","1065","1060","47130","50940"
"In post","2021","30-39","Scotland","Outside London","10335","9830","32120","29140"
"In post","2021","30-39","South East (England)","Outside London","7540","7130","31440","29290"
"In post","2021","30-39","South West (England)","Outside London","9505","8975","33930","32150"
"In post","2021","30-39","Unknown","Unknown","780","765","36640","32700"
"In post","2021","30-39","Wales","Outside London","8660","8090","29870","27570"
"In post","2021","30-39","West Midlands (England)","Outside London","6310","5940","29400","27570"
"In post","2021","30-39","Yorkshire and The Humber","Outside London","7495","6990","30800","27570"
"In post","2021","40-49","East Midlands (England)","Outside London","4980","4605","31180","27570"
"In post","2021","40-49","East of England","Outside London","5290","4915","32040","29290"
"In post","2021","40-49","London","London","22305","21175","48360","42470"
"In post","2021","40-49","North East (England)","Outside London","7480","6860","29770","27370"
"In post","2021","40-49","North West (England)","Outside London","14560","13515","30940","27570"
"In post","2021","40-49","Northern Ireland","Outside London","990","935","28070","25560"
"In post","2021","40-49","Overseas","Overseas","1175","1170","52150","54030"
"In post","2021","40-49","Scotland","Outside London","10740","10100","34940","29350"
"In post","2021","40-49","South East (England)","Outside London","9205","8615","33390","29540"
"In post","2021","40-49","South West (England)","Outside London","10365","9740","37160","33340"
"In post","2021","40-49","Unknown","Unknown","725","710","37770","33130"
"In post","2021","40-49","Wales","Outside London","8655","8085","33580","28200"
"In post","2021","40-49","West Midlands (England)","Outside London","7200","6675","32410","27570"
"In post","2021","40-49","Yorkshire and The Humber","Outside London","8625","7985","33600","29180"
"In post","2021","50-59","East Midlands (England)","Outside London","6845","6380","31130","27570"
"In post","2021","50-59","East of England","Outside London","7505","7060","32210","29270"
"In post","2021","50-59","London","London","24220","23340","44720","37610"
"In post","2021","50-59","North East (England)","Outside London","9335","8325","29250","27130"
"In post","2021","50-59","North West (England)","Outside London","18210","16855","30860","27570"
"In post","2021","50-59","Northern Ireland","Outside London","1205","1150","29740","26660"
"In post","2021","50-59","Overseas","Overseas","990","985","53290","52400"
"In post","2021","50-59","Scotland","Outside London","14710","13725","33560","28130"
"In post","2021","50-59","South East (England)","Outside London","13520","12660","32650","29290"
"In post","2021","50-59","South West (England)","Outside London","13245","12580","36540","33180"
"In post","2021","50-59","Unknown","Unknown","985","960","39020","33570"
"In post","2021","50-59","Wales","Outside London","9710","9010","32610","27570"
"In post","2021","50-59","West Midlands (England)","Outside London","9450","8800","31610","27570"
"In post","2021","50-59","Yorkshire and The Humber","Outside London","11095","10310","32920","27570"
"In post","2021","60-64","East Midlands (England)","Outside London","1775","1465","28450","26780"
"In post","2021","60-64","East of England","Outside London","2115","1805","29960","27570"
"In post","2021","60-64","London","London","5695","5060","41070","33640"
"In post","2021","60-64","North East (England)","Outside London","2865","2130","26200","21440"
"In post","2021","60-64","North West (England)","Outside London","4660","3675","28260","26160"
"In post","2021","60-64","Northern Ireland","Outside London","260","220","26880","22330"
"In post","2021","60-64","Overseas","Overseas","190","190","56220","54540"
"In post","2021","60-64","Scotland","Outside London","4030","3205","30550","27570"
"In post","2021","60-64","South East (England)","Outside London","4095","3465","30420","27570"
"In post","2021","60-64","South West (England)","Outside London","3645","3105","33630","29130"
"In post","2021","60-64","Unknown","Unknown","260","240","37350","33570"
"In post","2021","60-64","Wales","Outside London","2830","2210","30100","26780"
"In post","2021","60-64","West Midlands (England)","Outside London","2500","2065","29400","27380"
"In post","2021","60-64","Yorkshire and The Humber","Outside London","2780","2200","29660","27570"
"In post","2021","65+","East Midlands (England)","Outside London","460","345","28100","25560"
"In post","2021","65+","East of England","Outside London","695","525","28730","26780"
"In post","2021","65+","London","London","2220","1820","37450","31060"
"In post","2021","65+","North East (England)","Outside London","690","485","24630","21440"
"In post","2021","65+","North West (England)","Outside London","1350","970","27090","24300"
"In post","2021","65+","Northern Ireland","Outside London","90","70","26780","21430"
"In post","2021","65+","Overseas","Overseas","25","25","47980","35530"
"In post","2021","65+","Scotland","Outside London","1070","810","29370","26120"
"In post","2021","65+","South East (England)","Outside London","1560","1215","29230","26340"
"In post","2021","65+","South West (England)","Outside London","1185","925","33210","27570"
"In post","2021","65+","Unknown","Unknown","50","45","32230","30630"
"In post","2021","65+","Wales","Outside London","845","610","29640","24230"
"In post","2021","65+","West Midlands (England)","Outside London","685","525","28290","26510"
"In post","2021","65+","Yorkshire and The Humber","Outside London","715","520","28290","26670"
"In post","2021","Unknown","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","London","10","10","44540","34020"
"In post","2021","Unknown","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Northern Ireland","Outside London","15","15","33450","28480"
"In post","2021","Unknown","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","East of England","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","London","London","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North East (England)","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","North West (England)","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Scotland","Outside London","20","[c]","20990","21010"
"Leaver CS","2021","16-19","South East (England)","Outside London","15","[c]","20510","21010"
"Leaver CS","2021","16-19","South West (England)","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Wales","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Yorkshire and The Humber","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","East Midlands (England)","Outside London","270","[c]","22490","21010"
"Leaver CS","2021","20-29","East of England","Outside London","265","[c]","23970","22400"
"Leaver CS","2021","20-29","London","London","1505","[c]","29370","27520"
"Leaver CS","2021","20-29","North East (England)","Outside London","245","[c]","22390","21010"
"Leaver CS","2021","20-29","North West (England)","Outside London","485","[c]","23320","21010"
"Leaver CS","2021","20-29","Northern Ireland","Outside London","15","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Overseas","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Scotland","Outside London","285","[c]","24310","22230"
"Leaver CS","2021","20-29","South East (England)","Outside London","500","[c]","23000","21430"
"Leaver CS","2021","20-29","South West (England)","Outside London","515","[c]","24110","21550"
"Leaver CS","2021","20-29","Unknown","Unknown","200","[c]","28450","28000"
"Leaver CS","2021","20-29","Wales","Outside London","365","[c]","22470","21170"
"Leaver CS","2021","20-29","West Midlands (England)","Outside London","340","[c]","23090","21010"
