"Status","Year","Region_ITL3","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA","Heterosexual / straight","30","30","20650","21150"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA","Undeclared","25","15","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AA","Unknown","35","30","20990","20810"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AO","Heterosexual / straight","215","200","26780","22320"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AO","Undeclared","65","60","26530","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","AO","Unknown","160","155","25610","25140"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Heterosexual / straight","355","335","28770","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","LGBO","30","30","29000","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Undeclared","55","55","29190","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","EO","Unknown","150","140","30600","29920"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6","Undeclared","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G7","Heterosexual / straight","65","60","64880","61010"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","G7","Unknown","20","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","HEO","Heterosexual / straight","175","165","35560","33760"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","HEO","Unknown","85","80","35620","35110"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO","Heterosexual / straight","200","190","57350","46600"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO","LGBO","10","10","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO","Undeclared","25","25","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Outside London","SEO","Unknown","65","55","50700","46600"
"In post","2021","Angus and Dundee City","Outside London","AA","Heterosexual / straight","90","85","21110","21150"
"In post","2021","Angus and Dundee City","Outside London","AA","LGBO","10","10","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","AA","Undeclared","20","15","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","AA","Unknown","35","35","21270","21150"
"In post","2021","Angus and Dundee City","Outside London","AO","Heterosexual / straight","540","495","21250","21010"
"In post","2021","Angus and Dundee City","Outside London","AO","LGBO","45","40","21080","21010"
"In post","2021","Angus and Dundee City","Outside London","AO","Undeclared","95","80","21370","21010"
"In post","2021","Angus and Dundee City","Outside London","AO","Unknown","275","250","20820","21010"
"In post","2021","Angus and Dundee City","Outside London","EO","Heterosexual / straight","335","310","27400","27570"
"In post","2021","Angus and Dundee City","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","EO","Undeclared","40","35","28090","27570"
"In post","2021","Angus and Dundee City","Outside London","EO","Unknown","100","85","27290","27570"
"In post","2021","Angus and Dundee City","Outside London","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G7","Heterosexual / straight","30","30","56330","54300"
"In post","2021","Angus and Dundee City","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Angus and Dundee City","Outside London","HEO","Heterosexual / straight","100","90","32650","32140"
"In post","2021","Angus and Dundee City","Outside London","HEO","LGBO","[c]","[c]","[c]","[c]"
