"Status","Year","Age","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Chinese","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Cabinet Office","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Transport","30","25","20500","19480"
"In post","2021","16-19","Unknown","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Land Registry","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","HM Revenue and Customs","155","145","20610","20140"
"In post","2021","16-19","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","40","35","21920","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","110","110","18090","16780"
"In post","2021","16-19","Unknown","Ministry of Justice","55","55","21380","20600"
"In post","2021","16-19","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","40","40","20880","20810"
"In post","2021","16-19","Unknown","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Attorney General's Departments","20","20","[c]","[c]"
"In post","2021","16-19","White","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2021","16-19","White","Department for Education","10","10","[c]","[c]"
"In post","2021","16-19","White","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2021","16-19","White","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Department for Transport","20","20","[c]","[c]"
"In post","2021","16-19","White","Department for Work and Pensions","155","155","22170","21010"
"In post","2021","16-19","White","Department of Health and Social Care","20","15","[c]","[c]"
"In post","2021","16-19","White","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2021","16-19","White","HM Land Registry","10","10","[c]","[c]"
"In post","2021","16-19","White","HM Revenue and Customs","70","70","20910","20140"
"In post","2021","16-19","White","HM Treasury","20","20","[c]","[c]"
"In post","2021","16-19","White","Home Office","30","30","22490","21430"
"In post","2021","16-19","White","Ministry of Defence","130","130","19140","19040"
"In post","2021","16-19","White","Ministry of Justice","80","80","22250","22340"
"In post","2021","16-19","White","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Scottish Government","60","60","21370","21150"
"In post","2021","16-19","White","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","16-19","White","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Attorney General's Departments","145","145","30270","26970"
"In post","2021","20-29","Asian","Cabinet Office","135","130","36030","34550"
"In post","2021","20-29","Asian","Chancellor's other departments","20","20","[c]","[c]"
"In post","2021","20-29","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Competition and Markets Authority","25","25","[c]","[c]"
"In post","2021","20-29","Asian","Department for Business, Energy and Industrial Strategy","190","190","36970","33570"
"In post","2021","20-29","Asian","Department for Digital, Culture, Media and Sport","50","50","40160","38000"
"In post","2021","20-29","Asian","Department for Education","170","170","33380","30090"
"In post","2021","20-29","Asian","Department for Environment, Food and Rural Affairs","85","85","33110","32560"
"In post","2021","20-29","Asian","Department for International Trade","70","70","34590","32120"
"In post","2021","20-29","Asian","Department for Transport","125","120","33930","34290"
"In post","2021","20-29","Asian","Department for Work and Pensions","1430","1405","27600","27570"
"In post","2021","20-29","Asian","Department of Health and Social Care","295","280","29940","27400"
"In post","2021","20-29","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Foreign, Commonwealth and Development Office","95","95","33200","30630"
"In post","2021","20-29","Asian","HM Land Registry","40","40","26290","22350"
"In post","2021","20-29","Asian","HM Revenue and Customs","920","890","27490","25560"
"In post","2021","20-29","Asian","HM Treasury","105","105","35620","32320"
"In post","2021","20-29","Asian","Home Office","610","590","28510","25630"
"In post","2021","20-29","Asian","Ministry of Defence","230","230","30790","30200"
"In post","2021","20-29","Asian","Ministry of Housing, Communities and Local Government","70","70","33700","33210"
"In post","2021","20-29","Asian","Ministry of Justice","680","665","24600","22850"
"In post","2021","20-29","Asian","National Crime Agency","50","50","30680","32260"
"In post","2021","20-29","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Office for Standards in Education","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Office of Gas and Electricity Markets","40","40","32880","33820"
"In post","2021","20-29","Asian","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","20-29","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Other Cabinet Office Agencies","10","10","[c]","[c]"
"In post","2021","20-29","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Scottish Government","35","30","29130","27790"
"In post","2021","20-29","Asian","The National Archives","5","5","[c]","[c]"
"In post","2021","20-29","Asian","UK Export Finance","10","10","[c]","[c]"
"In post","2021","20-29","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","United Kingdom Statistics Authority","45","45","29210","29540"
"In post","2021","20-29","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Attorney General's Departments","65","65","28470","27000"
"In post","2021","20-29","Black","Cabinet Office","65","65","35190","32000"
"In post","2021","20-29","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2021","20-29","Black","Department for Business, Energy and Industrial Strategy","75","75","37420","33570"
"In post","2021","20-29","Black","Department for Digital, Culture, Media and Sport","35","35","39030","34020"
"In post","2021","20-29","Black","Department for Education","40","40","33860","32940"
"In post","2021","20-29","Black","Department for Environment, Food and Rural Affairs","30","25","[c]","[c]"
"In post","2021","20-29","Black","Department for International Trade","30","30","31800","31800"
"In post","2021","20-29","Black","Department for Transport","40","40","33910","34710"
"In post","2021","20-29","Black","Department for Work and Pensions","575","570","29030","31060"
"In post","2021","20-29","Black","Department of Health and Social Care","140","135","29920","27800"
"In post","2021","20-29","Black","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Food Standards Agency","5","5","[c]","[c]"
"In post","2021","20-29","Black","Foreign, Commonwealth and Development Office","40","40","31480","29300"
"In post","2021","20-29","Black","HM Land Registry","10","10","[c]","[c]"
"In post","2021","20-29","Black","HM Revenue and Customs","170","170","29920","29570"
"In post","2021","20-29","Black","HM Treasury","40","40","32160","32320"
"In post","2021","20-29","Black","Home Office","190","185","31030","28760"
"In post","2021","20-29","Black","Ministry of Defence","75","75","28170","27540"
"In post","2021","20-29","Black","Ministry of Housing, Communities and Local Government","30","30","[c]","[c]"
"In post","2021","20-29","Black","Ministry of Justice","445","440","27120","26410"
"In post","2021","20-29","Black","National Crime Agency","15","15","[c]","[c]"
"In post","2021","20-29","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Office for Standards in Education","5","5","[c]","[c]"
"In post","2021","20-29","Black","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2021","20-29","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Scottish Government","10","10","[c]","[c]"
"In post","2021","20-29","Black","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","20-29","Black","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Attorney General's Departments","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","Cabinet Office","5","5","[c]","[c]"
"In post","2021","20-29","Chinese","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Education","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","20-29","Chinese","Department for International Trade","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Transport","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","Department for Work and Pensions","20","20","[c]","[c]"
"In post","2021","20-29","Chinese","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","HM Revenue and Customs","30","30","[c]","[c]"
"In post","2021","20-29","Chinese","HM Treasury","5","5","[c]","[c]"
"In post","2021","20-29","Chinese","Home Office","25","25","[c]","[c]"
"In post","2021","20-29","Chinese","Ministry of Defence","15","15","[c]","[c]"
"In post","2021","20-29","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Ministry of Justice","15","15","[c]","[c]"
"In post","2021","20-29","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","United Kingdom Statistics Authority","5","5","[c]","[c]"
"In post","2021","20-29","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Attorney General's Departments","50","50","31140","27400"
"In post","2021","20-29","Mixed","Cabinet Office","70","70","37110","34550"
"In post","2021","20-29","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","20-29","Mixed","Department for Business, Energy and Industrial Strategy","95","95","40170","39570"
"In post","2021","20-29","Mixed","Department for Digital, Culture, Media and Sport","40","40","42370","39010"
"In post","2021","20-29","Mixed","Department for Education","70","70","36340","32870"
"In post","2021","20-29","Mixed","Department for Environment, Food and Rural Affairs","55","55","31880","32560"
"In post","2021","20-29","Mixed","Department for International Trade","40","40","37150","32120"
"In post","2021","20-29","Mixed","Department for Transport","60","60","32140","31870"
"In post","2021","20-29","Mixed","Department for Work and Pensions","400","390","26920","27570"
"In post","2021","20-29","Mixed","Department of Health and Social Care","120","115","31110","27710"
"In post","2021","20-29","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Foreign, Commonwealth and Development Office","95","95","34960","34490"
"In post","2021","20-29","Mixed","HM Land Registry","25","25","[c]","[c]"
"In post","2021","20-29","Mixed","HM Revenue and Customs","175","175","28590","25560"
"In post","2021","20-29","Mixed","HM Treasury","50","50","38700","33820"
"In post","2021","20-29","Mixed","Home Office","140","135","31060","28650"
"In post","2021","20-29","Mixed","Ministry of Defence","135","135","29070","28650"
"In post","2021","20-29","Mixed","Ministry of Housing, Communities and Local Government","35","35","36680","33210"
"In post","2021","20-29","Mixed","Ministry of Justice","370","360","26700","25850"
"In post","2021","20-29","Mixed","National Crime Agency","30","30","[c]","[c]"
"In post","2021","20-29","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2021","20-29","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Scottish Government","25","25","[c]","[c]"
"In post","2021","20-29","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","United Kingdom Statistics Authority","25","25","[c]","[c]"
"In post","2021","20-29","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
