"Status","Year","Disability","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","London","35","35","39470","35000"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Outside London","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","London","35","35","42000","37640"
"In post","2021","Declared disabled","Asian","Human Resources","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","London","60","55","48000","49710"
"In post","2021","Declared disabled","Asian","Legal","Outside London","55","45","35500","33310"
"In post","2021","Declared disabled","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","London","335","315","35850","32560"
"In post","2021","Declared disabled","Asian","No function","Outside London","455","420","27410","23840"
"In post","2021","Declared disabled","Asian","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","London","45","45","42050","39390"
"In post","2021","Declared disabled","Asian","Project Delivery","Outside London","35","35","38880","37370"
"In post","2021","Declared disabled","Asian","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","London","620","560","32840","31060"
"In post","2021","Declared disabled","Asian","Unknown","Outside London","755","680","26100","27570"
"In post","2021","Declared disabled","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","London","30","30","41250","34670"
"In post","2021","Declared disabled","Black","Human Resources","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","London","50","45","38870","30110"
"In post","2021","Declared disabled","Black","Legal","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","No function","London","425","410","33130","32090"
"In post","2021","Declared disabled","Black","No function","Outside London","235","220","28960","26980"
"In post","2021","Declared disabled","Black","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","London","35","35","39990","36160"
"In post","2021","Declared disabled","Black","Project Delivery","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","London","545","505","31660","31060"
"In post","2021","Declared disabled","Black","Unknown","Outside London","255","235","27140","27570"
"In post","2021","Declared disabled","Black","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
