"Status","Year","Organisation","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Unknown","30","25","27060","22230"
"In post","2021","Accountant in Bankruptcy","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Heterosexual / straight","45","40","32630","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Birmingham","Unknown","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Heterosexual / straight","40","35","34480","33370"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Bristol, City of","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Heterosexual / straight","50","45","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Cardiff and Vale of Glamorgan","Unknown","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Heterosexual / straight","70","65","31930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Glasgow City","Unknown","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Heterosexual / straight","40","35","35250","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Leeds","Unknown","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Heterosexual / straight","85","75","31330","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Undeclared","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Manchester","Unknown","35","35","26470","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Heterosexual / straight","40","35","33820","32650"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Nottingham","Unknown","40","40","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Heterosexual / straight","30","25","35170","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Suffolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Heterosexual / straight","80","75","31310","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Tyneside","Unknown","40","35","26030","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Heterosexual / straight","130","125","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","LGBO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Undeclared","30","30","42960","40890"
"In post","2021","Advisory, Conciliation and Arbitration Service","Westminster","Unknown","35","35","41580","43750"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Heterosexual / straight","30","30","25590","21050"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","LGBO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bristol, City of","Unknown","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Caithness and Sutherland and Ross and Cromarty","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
