"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Male","20","15","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Female","150","140","22540","21710"
"In post","2021","Commercial","AA/AO","AO","Male","90","85","22690","21680"
"In post","2021","Commercial","EO","EO","Female","420","395","25870","26400"
"In post","2021","Commercial","EO","EO","Male","285","285","26120","26360"
"In post","2021","Commercial","G6/G7","G6","Female","120","120","70600","69530"
"In post","2021","Commercial","G6/G7","G6","Male","180","175","69770","67390"
"In post","2021","Commercial","G6/G7","G7","Female","345","330","53500","53360"
"In post","2021","Commercial","G6/G7","G7","Male","370","365","55110","53580"
"In post","2021","Commercial","SCS level","SCS level","Female","45","45","90010","82090"
"In post","2021","Commercial","SCS level","SCS level","Male","55","55","89190","80900"
"In post","2021","Commercial","SEO/HEO","HEO","Female","745","705","32080","32730"
"In post","2021","Commercial","SEO/HEO","HEO","Male","550","545","32380","32730"
"In post","2021","Commercial","SEO/HEO","SEO","Female","905","865","40860","40580"
"In post","2021","Commercial","SEO/HEO","SEO","Male","845","830","42570","41340"
"In post","2021","Commercial","Unknown","Unknown","Female","105","105","36870","33010"
"In post","2021","Commercial","Unknown","Unknown","Male","110","110","40320","38240"
"In post","2021","Communications","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2021","Communications","AA/AO","AA","Male","5","5","[c]","[c]"
"In post","2021","Communications","AA/AO","AO","Female","125","115","22340","21590"
"In post","2021","Communications","AA/AO","AO","Male","100","100","22490","21590"
"In post","2021","Communications","EO","EO","Female","370","350","27400","26970"
"In post","2021","Communications","EO","EO","Male","265","260","27550","27270"
"In post","2021","Communications","G6/G7","G6","Female","140","135","67280","66420"
"In post","2021","Communications","G6/G7","G6","Male","100","100","68430","68720"
"In post","2021","Communications","G6/G7","G7","Female","420","395","54860","54540"
"In post","2021","Communications","G6/G7","G7","Male","280","280","54530","53840"
"In post","2021","Communications","SCS level","SCS level","Female","65","65","83440","79580"
"In post","2021","Communications","SCS level","SCS level","Male","50","50","91190","84670"
"In post","2021","Communications","SEO/HEO","HEO","Female","590","565","34110","33300"
"In post","2021","Communications","SEO/HEO","HEO","Male","435","430","34880","34190"
"In post","2021","Communications","SEO/HEO","SEO","Female","605","580","41530","40940"
"In post","2021","Communications","SEO/HEO","SEO","Male","395","390","41630","41500"
"In post","2021","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","Female","10","10","[c]","[c]"
"In post","2021","Corporate Finance","EO","EO","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","Female","5","5","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G6","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G7","Female","25","25","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","G7","Male","25","25","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","Female","20","20","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","HEO","Male","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","Female","20","20","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","SEO","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AA","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","AO","Female","30","25","21690","21430"
"In post","2021","Counter Fraud","AA/AO","AO","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","EO","Female","115","105","26410","25580"
"In post","2021","Counter Fraud","EO","EO","Male","70","70","26920","26350"
"In post","2021","Counter Fraud","G6/G7","G6","Female","15","15","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G6","Male","30","30","70280","69110"
"In post","2021","Counter Fraud","G6/G7","G7","Female","20","20","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","G7","Male","55","55","57190","57890"
"In post","2021","Counter Fraud","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","HEO","Female","140","130","34810","34050"
"In post","2021","Counter Fraud","SEO/HEO","HEO","Male","185","185","34720","34390"
"In post","2021","Counter Fraud","SEO/HEO","SEO","Female","70","70","41960","41250"
