"Status","Year","Disability","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","90","85","32860","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","Heterosexual / straight","195","175","24650","21150"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Outside London","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","Heterosexual / straight","85","75","30460","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","Heterosexual / straight","90","90","35360","31060"
"In post","2021","Declared disabled","Barnet","London","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Barnet","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","320","280","27130","27470"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","30","25","25540","26540"
