"Status","Year","Disability","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","AA/AO","AO","35","30","23640","21010"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","EO","EO","45","40","28020","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","AA","25","25","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","AA/AO","AO","155","140","21120","21010"
"In post","2021","Declared disabled","Angus and Dundee City","EO","EO","65","55","27480","27570"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","AA/AO","AO","[c]","[c]","[c]","[c]"
