"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","455","405","21820","21010"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","EO","540","490","26830","27570"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","100","90","57290","52590"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","335","320","35360","33350"
"In post","2021","Declared disabled","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","115","105","29920","28200"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","355","310","21180","21000"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","235","210","27050","27570"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","80","75","36460","34290"
"In post","2021","Declared disabled","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","55","50","29640","30210"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","AA/AO","155","140","21760","21010"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","EO","120","110","27710","27570"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","SEO/HEO","75","75","35900","34290"
"In post","2021","Declared disabled","East Midlands (England)","Lincolnshire","Unknown","30","30","33450","33030"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","AA/AO","130","120","23430","22390"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","EO","205","190","29140","29290"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","SEO/HEO","95","90","38770","37640"
"In post","2021","Declared disabled","East of England","Bedfordshire and Hertfordshire","Unknown","55","50","26500","24020"
"In post","2021","Declared disabled","East of England","East Anglia","AA/AO","485","440","22780","21100"
"In post","2021","Declared disabled","East of England","East Anglia","EO","430","390","27630","27570"
"In post","2021","Declared disabled","East of England","East Anglia","G6/G7","50","50","57650","54540"
"In post","2021","Declared disabled","East of England","East Anglia","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","East Anglia","SEO/HEO","315","300","36310","34190"
"In post","2021","Declared disabled","East of England","East Anglia","Unknown","75","65","30910","30550"
"In post","2021","Declared disabled","East of England","Essex","AA/AO","210","185","23710","22980"
"In post","2021","Declared disabled","East of England","Essex","EO","315","285","29180","29290"
"In post","2021","Declared disabled","East of England","Essex","G6/G7","35","30","59070","56580"
"In post","2021","Declared disabled","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Essex","SEO/HEO","105","100","37630","36310"
"In post","2021","Declared disabled","East of England","Essex","Unknown","50","45","27750","24800"
"In post","2021","Declared disabled","London","Inner London - East","AA/AO","320","290","25210","25060"
"In post","2021","Declared disabled","London","Inner London - East","EO","510","480","30870","31060"
"In post","2021","Declared disabled","London","Inner London - East","G6/G7","240","230","60670","59160"
"In post","2021","Declared disabled","London","Inner London - East","SCS level","30","30","98040","90820"
"In post","2021","Declared disabled","London","Inner London - East","SEO/HEO","350","340","39630","38660"
"In post","2021","Declared disabled","London","Inner London - East","Unknown","125","120","33830","32090"
"In post","2021","Declared disabled","London","Inner London - West","AA/AO","500","465","25240","24490"
"In post","2021","Declared disabled","London","Inner London - West","EO","875","845","29580","29560"
"In post","2021","Declared disabled","London","Inner London - West","G6/G7","1620","1565","60030","58600"
"In post","2021","Declared disabled","London","Inner London - West","SCS level","245","240","88470","79370"
"In post","2021","Declared disabled","London","Inner London - West","SEO/HEO","1900","1860","38300","37640"
"In post","2021","Declared disabled","London","Inner London - West","Unknown","35","35","36940","36580"
"In post","2021","Declared disabled","London","Outer London - East and North East","AA/AO","140","130","25120","24510"
"In post","2021","Declared disabled","London","Outer London - East and North East","EO","255","230","31180","31060"
"In post","2021","Declared disabled","London","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - East and North East","SEO/HEO","40","40","38350","37850"
"In post","2021","Declared disabled","London","Outer London - East and North East","Unknown","55","55","32330","28690"
"In post","2021","Declared disabled","London","Outer London - South","AA/AO","205","185","24350","25630"
"In post","2021","Declared disabled","London","Outer London - South","EO","370","340","29910","29570"
"In post","2021","Declared disabled","London","Outer London - South","G6/G7","125","120","63690","61640"
"In post","2021","Declared disabled","London","Outer London - South","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - South","SEO/HEO","340","325","39730","39030"
"In post","2021","Declared disabled","London","Outer London - South","Unknown","35","30","34270","33090"
"In post","2021","Declared disabled","London","Outer London - West and North West","AA/AO","210","190","25390","25110"
"In post","2021","Declared disabled","London","Outer London - West and North West","EO","425","380","30220","31060"
"In post","2021","Declared disabled","London","Outer London - West and North West","G6/G7","30","30","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - West and North West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Outer London - West and North West","SEO/HEO","165","155","38150","36950"
"In post","2021","Declared disabled","London","Outer London - West and North West","Unknown","55","50","34820","35310"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","AA/AO","1060","890","20760","21010"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","EO","645","565","26870","27570"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","G6/G7","105","105","54340","52580"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","SEO/HEO","425","395","33910","31990"
"In post","2021","Declared disabled","North East (England)","Northumberland and Tyne and Wear","Unknown","80","75","29420","28200"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","AA/AO","495","425","22170","21010"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","EO","355","310","27530","27570"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","SEO/HEO","150","140","35600","34320"
"In post","2021","Declared disabled","North East (England)","Tees Valley and Durham","Unknown","65","60","30620","28200"
"In post","2021","Declared disabled","North West (England)","Cheshire","AA/AO","125","110","21950","21010"
"In post","2021","Declared disabled","North West (England)","Cheshire","EO","160","145","28140","27570"
"In post","2021","Declared disabled","North West (England)","Cheshire","G6/G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cheshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cheshire","SEO/HEO","60","55","36870","36740"
"In post","2021","Declared disabled","North West (England)","Cheshire","Unknown","35","30","28540","28200"
"In post","2021","Declared disabled","North West (England)","Cumbria","AA/AO","100","90","21100","21050"
"In post","2021","Declared disabled","North West (England)","Cumbria","EO","65","60","26450","27570"
"In post","2021","Declared disabled","North West (England)","Cumbria","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cumbria","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Cumbria","SEO/HEO","45","40","36230","36520"
"In post","2021","Declared disabled","North West (England)","Cumbria","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","AA/AO","670","590","21100","21010"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","EO","695","635","26830","27570"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","G6/G7","175","170","55530","52580"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","SEO/HEO","480","450","34950","33190"
"In post","2021","Declared disabled","North West (England)","Greater Manchester","Unknown","120","110","30740","31420"
"In post","2021","Declared disabled","North West (England)","Lancashire","AA/AO","820","715","21480","21010"
"In post","2021","Declared disabled","North West (England)","Lancashire","EO","680","605","27260","27570"
"In post","2021","Declared disabled","North West (England)","Lancashire","G6/G7","65","60","54830","52670"
"In post","2021","Declared disabled","North West (England)","Lancashire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Lancashire","SEO/HEO","305","285","34810","33840"
"In post","2021","Declared disabled","North West (England)","Lancashire","Unknown","70","65","29310","28200"
"In post","2021","Declared disabled","North West (England)","Merseyside","AA/AO","905","770","20970","21010"
"In post","2021","Declared disabled","North West (England)","Merseyside","EO","755","665","26700","27570"
"In post","2021","Declared disabled","North West (England)","Merseyside","G6/G7","130","120","55170","52590"
"In post","2021","Declared disabled","North West (England)","Merseyside","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Merseyside","SEO/HEO","400","375","35180","33840"
"In post","2021","Declared disabled","North West (England)","Merseyside","Unknown","90","85","30590","30210"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","AA/AO","145","130","21130","20810"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","EO","85","80","26500","25900"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","G6/G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","SEO/HEO","80","75","34230","31870"
"In post","2021","Declared disabled","Northern Ireland","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","G6/G7","95","95","60260","58330"
"In post","2021","Declared disabled","Overseas","Overseas","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","SEO/HEO","90","90","36420","34770"
"In post","2021","Declared disabled","Overseas","Overseas","Unknown","10","10","[c]","[c]"
