"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","110","100","23320","22290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","AA/AO","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","190","175","28420","27670"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","EO","Unknown","25","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","95","95","38140","37640"
