"Status","Year","Ethnicity","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","Outside London","1700","1530","27030","25560"
"In post","2021","Asian","East of England","Outside London","1125","1015","30360","27570"
"In post","2021","Asian","London","London","13560","12805","37040","31880"
"In post","2021","Asian","North East (England)","Outside London","395","360","27830","24880"
"In post","2021","Asian","North West (England)","Outside London","2570","2370","27670","25560"
"In post","2021","Asian","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Overseas","150","150","46340","41410"
"In post","2021","Asian","Scotland","Outside London","510","470","31930","27570"
"In post","2021","Asian","South East (England)","Outside London","1380","1270","30230","27780"
"In post","2021","Asian","South West (England)","Outside London","780","735","34300","31310"
"In post","2021","Asian","Unknown","Unknown","170","150","29630","27570"
"In post","2021","Asian","Wales","Outside London","425","400","30150","25560"
"In post","2021","Asian","West Midlands (England)","Outside London","4070","3785","27830","26120"
"In post","2021","Asian","Yorkshire and The Humber","Outside London","2315","2130","28050","25860"
"In post","2021","Black","East Midlands (England)","Outside London","510","475","27140","26310"
"In post","2021","Black","East of England","Outside London","595","570","30710","29290"
"In post","2021","Black","London","London","9965","9625","34560","31060"
"In post","2021","Black","North East (England)","Outside London","145","135","27610","25560"
"In post","2021","Black","North West (England)","Outside London","725","685","28560","27370"
"In post","2021","Black","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Black","Overseas","Overseas","65","65","41950","37500"
"In post","2021","Black","Scotland","Outside London","230","220","32030","27570"
"In post","2021","Black","South East (England)","Outside London","845","805","30420","29290"
"In post","2021","Black","South West (England)","Outside London","535","515","32500","30710"
"In post","2021","Black","Unknown","Unknown","55","55","30280","29870"
"In post","2021","Black","Wales","Outside London","190","180","28720","26300"
"In post","2021","Black","West Midlands (England)","Outside London","1200","1125","28220","26990"
"In post","2021","Black","Yorkshire and The Humber","Outside London","525","495","29250","27570"
"In post","2021","Chinese","East Midlands (England)","Outside London","30","30","35180","27570"
"In post","2021","Chinese","East of England","Outside London","40","40","37140","29290"
"In post","2021","Chinese","London","London","600","580","43240","39240"
"In post","2021","Chinese","North East (England)","Outside London","50","50","27900","25560"
"In post","2021","Chinese","North West (England)","Outside London","150","140","29120","25360"
"In post","2021","Chinese","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Overseas","10","10","[c]","[c]"
"In post","2021","Chinese","Scotland","Outside London","50","45","31300","26580"
"In post","2021","Chinese","South East (England)","Outside London","100","90","31400","28970"
"In post","2021","Chinese","South West (England)","Outside London","50","50","30920","28250"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","Outside London","65","65","31560","29540"
"In post","2021","Chinese","West Midlands (England)","Outside London","45","40","29960","27570"
"In post","2021","Chinese","Yorkshire and The Humber","Outside London","55","50","28840","25040"
"In post","2021","Mixed","East Midlands (England)","Outside London","340","315","29990","27570"
"In post","2021","Mixed","East of England","Outside London","420","395","30630","29040"
"In post","2021","Mixed","London","London","3405","3295","40840","35590"
"In post","2021","Mixed","North East (England)","Outside London","225","210","29310","27230"
"In post","2021","Mixed","North West (England)","Outside London","760","710","29330","26160"
"In post","2021","Mixed","Northern Ireland","Outside London","15","15","[c]","[c]"
"In post","2021","Mixed","Overseas","Overseas","110","110","48540","48210"
"In post","2021","Mixed","Scotland","Outside London","260","250","34960","29120"
"In post","2021","Mixed","South East (England)","Outside London","670","635","31410","29070"
"In post","2021","Mixed","South West (England)","Outside London","610","575","33110","29200"
"In post","2021","Mixed","Unknown","Unknown","30","25","[c]","[c]"
"In post","2021","Mixed","Wales","Outside London","380","360","30770","27570"
"In post","2021","Mixed","West Midlands (England)","Outside London","535","495","28860","27130"
"In post","2021","Mixed","Yorkshire and The Humber","Outside London","505","475","31300","27570"
"In post","2021","Other ethnicity","East Midlands (England)","Outside London","70","65","31780","27570"
"In post","2021","Other ethnicity","East of England","Outside London","125","115","34220","29290"
"In post","2021","Other ethnicity","London","London","1270","1210","41630","35200"
"In post","2021","Other ethnicity","North East (England)","Outside London","50","45","29250","25000"
"In post","2021","Other ethnicity","North West (England)","Outside London","170","160","31370","27570"
"In post","2021","Other ethnicity","Northern Ireland","Outside London","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Overseas","Overseas","35","35","47340","45120"
"In post","2021","Other ethnicity","Scotland","Outside London","95","90","34670","27570"
"In post","2021","Other ethnicity","South East (England)","Outside London","215","205","30260","27570"
"In post","2021","Other ethnicity","South West (England)","Outside London","175","170","33540","29600"
"In post","2021","Other ethnicity","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Wales","Outside London","100","95","31920","27570"
"In post","2021","Other ethnicity","West Midlands (England)","Outside London","155","140","30110","27570"
"In post","2021","Other ethnicity","Yorkshire and The Humber","Outside London","115","105","32940","27570"
"In post","2021","Undeclared","East Midlands (England)","Outside London","915","845","30190","27570"
"In post","2021","Undeclared","East of England","Outside London","1085","1005","31410","29200"
"In post","2021","Undeclared","London","London","4660","4440","42060","36650"
"In post","2021","Undeclared","North East (England)","Outside London","1040","945","29090","26350"
"In post","2021","Undeclared","North West (England)","Outside London","2225","2035","30400","27570"
"In post","2021","Undeclared","Northern Ireland","Outside London","95","90","28160","25560"
"In post","2021","Undeclared","Overseas","Overseas","195","195","47080","41620"
"In post","2021","Undeclared","Scotland","Outside London","1635","1510","32650","28630"
"In post","2021","Undeclared","South East (England)","Outside London","2270","2110","33030","30110"
"In post","2021","Undeclared","South West (England)","Outside London","2455","2325","36610","33860"
"In post","2021","Undeclared","Unknown","Unknown","55","50","34660","30330"
"In post","2021","Undeclared","Wales","Outside London","1250","1165","32020","27570"
"In post","2021","Undeclared","West Midlands (England)","Outside London","1260","1150","30270","27570"
"In post","2021","Undeclared","Yorkshire and The Humber","Outside London","1400","1295","31150","27570"
"In post","2021","Unknown","East Midlands (England)","Outside London","2700","2540","27590","25560"
"In post","2021","Unknown","East of England","Outside London","2080","1965","29250","26930"
"In post","2021","Unknown","London","London","15570","15200","42860","36160"
"In post","2021","Unknown","North East (England)","Outside London","4345","3970","26100","22350"
"In post","2021","Unknown","North West (England)","Outside London","7260","6840","27960","25560"
"In post","2021","Unknown","Northern Ireland","Outside London","645","615","25990","21440"
"In post","2021","Unknown","Overseas","Overseas","565","565","51740","51500"
"In post","2021","Unknown","Scotland","Outside London","10135","9485","30040","26160"
"In post","2021","Unknown","South East (England)","Outside London","4230","3955","30220","27570"
"In post","2021","Unknown","South West (England)","Outside London","4180","3945","31940","27570"
"In post","2021","Unknown","Unknown","Unknown","2440","2430","37020","32700"
"In post","2021","Unknown","Wales","Outside London","4470","4200","28330","24880"
"In post","2021","Unknown","West Midlands (England)","Outside London","3605","3410","28700","25560"
"In post","2021","Unknown","Yorkshire and The Humber","Outside London","4850","4620","29920","25560"
"In post","2021","White","East Midlands (England)","Outside London","15105","13965","30200","27570"
"In post","2021","White","East of England","Outside London","17125","15875","30900","28200"
"In post","2021","White","London","London","52895","50845","47090","41950"
"In post","2021","White","North East (England)","Outside London","24365","21790","28510","26000"
"In post","2021","White","North West (England)","Outside London","45480","41770","29790","27570"
"In post","2021","White","Northern Ireland","Outside London","3035","2850","28390","25560"
"In post","2021","White","Overseas","Overseas","2620","2610","50320","50430"
"In post","2021","White","Scotland","Outside London","34670","32145","32730","27570"
"In post","2021","White","South East (England)","Outside London","32060","29790","31620","28650"
"In post","2021","White","South West (England)","Outside London","36395","34135","34450","31580"
"In post","2021","White","Unknown","Unknown","970","915","33710","27570"
"In post","2021","White","Wales","Outside London","29205","26795","31200","27570"
"In post","2021","White","West Midlands (England)","Outside London","19625","18120","31110","27570"
"In post","2021","White","Yorkshire and The Humber","Outside London","26845","24645","31750","27570"
"Leaver CS","2021","Asian","East Midlands (England)","Outside London","75","[c]","24710","21010"
"Leaver CS","2021","Asian","East of England","Outside London","55","[c]","27120","23690"
"Leaver CS","2021","Asian","London","London","595","[c]","33550","29080"
"Leaver CS","2021","Asian","North East (England)","Outside London","30","[c]","[c]","[c]"
"Leaver CS","2021","Asian","North West (England)","Outside London","95","[c]","25270","21010"
"Leaver CS","2021","Asian","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Overseas","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Scotland","Outside London","20","[c]","[c]","[c]"
"Leaver CS","2021","Asian","South East (England)","Outside London","45","[c]","31380","27570"
"Leaver CS","2021","Asian","South West (England)","Outside London","35","[c]","30740","23930"
"Leaver CS","2021","Asian","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Wales","Outside London","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","West Midlands (England)","Outside London","135","[c]","28620","21010"
"Leaver CS","2021","Asian","Yorkshire and The Humber","Outside London","85","[c]","29770","25310"
