"Status","Year","Age","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","London","15","15","26900","27680"
"In post","2021","16-19","Analysis","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Tax","Outside London","45","40","20140","20140"
"In post","2021","16-19","Debt","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Digital, Data and Technology","Outside London","20","20","21670","21040"
"In post","2021","16-19","Digital, Data & Technology","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","Outside London","35","30","19970","19500"
"In post","2021","16-19","Finance","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
