"Status","Year","Organisation","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Southern Scotland","East Ayrshire and North Ayrshire mainland","115","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Inner London - West","Westminster","15","10","42000","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Inner London - West","Westminster","45","45","47270","47050"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Northumberland and Tyne and Wear","Tyneside","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Inner London - West","Westminster","10","10","41970","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Inner London - West","Westminster","15","15","40770","40090"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Derbyshire and Nottinghamshire","Nottingham","90","85","28930","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Anglia","Suffolk","40","35","34290","34380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Wales","Cardiff and Vale of Glamorgan","90","85","30260","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","50","45","32790","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Greater Manchester","Manchester","135","125","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Hampshire and Isle of Wight","North Hampshire","30","25","34740","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Inner London - West","Westminster","95","95","40210","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Northumberland and Tyne and Wear","Tyneside","130","120","29540","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Central Scotland","Glasgow City","100","90","29740","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands","Birmingham","85","75","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Yorkshire","Leeds","65","60","31440","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Surrey, East and West Sussex","West Surrey","5","5","[c]","[c]"
