"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Inner London - West","75","75","46870","45250"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","Tees Valley and Durham","20","20","41450","42320"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","Greater Manchester","15","15","37080","33190"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","West Wales and The Valleys","30","30","29890","26780"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","South Yorkshire","55","50","44750","42420"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","West Yorkshire","10","10","34650","30930"
"In post","2021","Analysis","Economics","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","Inner London - East","175","170","56040","55860"
"In post","2021","Analysis","Economics","London","Inner London - West","890","880","46090","39640"
"In post","2021","Analysis","Economics","London","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","Greater Manchester","30","25","37790","31810"
"In post","2021","Analysis","Economics","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","15","15","48190","51970"
"In post","2021","Analysis","Economics","South East (England)","Hampshire and Isle of Wight","10","10","42450","42560"
"In post","2021","Analysis","Economics","South East (England)","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","East Wales","125","120","36080","29840"
"In post","2021","Analysis","Economics","West Midlands (England)","West Midlands","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East of England","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","Inner London - East","25","25","46870","41770"
"In post","2021","Analysis","Finance","London","Outer London - South","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","North West (England)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Scotland","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands (England)","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands (England)","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Inner London - West","15","15","50070","46050"
"In post","2021","Analysis","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East of England","East Anglia","[c]","[c]","[c]","[c]"
