"Status","Year","Age","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","15","15","24100","22590"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","40","40","22720","21600"
"In post","2021","16-19","Cheshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","40","40","22040","21010"
"In post","2021","16-19","Devon","Outside London","25","25","19300","19130"
"In post","2021","16-19","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","30","25","22560","21430"
"In post","2021","16-19","East Wales","Outside London","70","70","20160","20140"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","95","95","21110","20930"
"In post","2021","16-19","Essex","Outside London","15","15","22070","21430"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","150","150","18720","17780"
"In post","2021","16-19","Greater Manchester","Outside London","45","45","21710","21010"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","30","25","19960","19720"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","25","25","24710","23550"
"In post","2021","16-19","Inner London - West","London","100","100","25670","25170"
"In post","2021","16-19","Kent","Outside London","40","40","21940","21430"
"In post","2021","16-19","Lancashire","Outside London","40","35","20740","21010"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","15","15","20280","20600"
"In post","2021","16-19","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Outside London","50","45","20650","20140"
"In post","2021","16-19","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Outside London","80","75","20990","20140"
"In post","2021","16-19","Outer London - East and North East","London","10","10","[c]","[c]"
"In post","2021","16-19","Outer London - South","London","10","10","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","London","15","10","22290","22100"
"In post","2021","16-19","Shropshire and Staffordshire","Outside London","15","15","21430","21590"
"In post","2021","16-19","South Yorkshire","Outside London","25","25","21410","21010"
"In post","2021","16-19","Southern Scotland","Outside London","20","20","19000","18470"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","15","15","24160","24370"
"In post","2021","16-19","Tees Valley and Durham","Outside London","15","15","21600","21010"
"In post","2021","16-19","Unknown","Unknown","40","40","19120","15940"
"In post","2021","16-19","West Central Scotland","Outside London","50","45","20610","20140"
"In post","2021","16-19","West Midlands","Outside London","35","30","21210","20140"
"In post","2021","16-19","West Wales and The Valleys","Outside London","65","55","20480","21010"
"In post","2021","16-19","West Yorkshire","Outside London","65","65","20970","20140"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","695","685","28360","27850"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","1480","1470","27560","27570"
"In post","2021","20-29","Cheshire","Outside London","630","630","26980","27570"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","120","115","23510","21010"
"In post","2021","20-29","Cumbria","Outside London","220","220","23770","21050"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","1860","1825","25940","25560"
"In post","2021","20-29","Devon","Outside London","1035","1015","25870","24890"
"In post","2021","20-29","Dorset and Somerset","Outside London","550","540","25300","24920"
"In post","2021","20-29","East Anglia","Outside London","1505","1470","25670","25480"
"In post","2021","20-29","East Wales","Outside London","3470","3420","26450","25300"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","640","630","24100","24000"
"In post","2021","20-29","Eastern Scotland","Outside London","2960","2910","26860","25870"
"In post","2021","20-29","Essex","Outside London","670","660","26630","25560"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5345","5270","27730","27540"
"In post","2021","20-29","Greater Manchester","Outside London","3275","3230","26820","25560"
"In post","2021","20-29","Hampshire and Isle of Wight","Outside London","1925","1890","27460","26970"
"In post","2021","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","540","530","23670","22920"
"In post","2021","20-29","Highlands and Islands","Outside London","190","190","24720","23130"
"In post","2021","20-29","Inner London - East","London","3040","3005","33420","31060"
"In post","2021","20-29","Inner London - West","London","16485","16420","37380","34260"
"In post","2021","20-29","Kent","Outside London","1210","1200","26790","26420"
"In post","2021","20-29","Lancashire","Outside London","1560","1520","24090","22850"
