"Status","Year","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Hertfordshire","175","155","42490","40000"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","135","125","43310","40000"
"In post","2021","Attorney General's Departments","Cheshire","Warrington","25","25","46530","48830"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","25","25","36240","28430"
"In post","2021","Attorney General's Departments","Cumbria","East Cumbria","30","25","35030","28430"
"In post","2021","Attorney General's Departments","Cumbria","West Cumbria","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Nottingham","270","250","37300","30130"
"In post","2021","Attorney General's Departments","Devon","Devon CC","100","95","39950","36240"
"In post","2021","Attorney General's Departments","East Anglia","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Norwich and East Norfolk","75","65","35640","28430"
"In post","2021","Attorney General's Departments","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Suffolk","35","30","38310","34050"
"In post","2021","Attorney General's Departments","East Wales","Cardiff and Vale of Glamorgan","215","200","41090","38760"
"In post","2021","Attorney General's Departments","East Wales","Flintshire and Wrexham","75","65","41500","38000"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","75","65","38580","28430"
"In post","2021","Attorney General's Departments","Essex","Heart of Essex","185","170","41150","35020"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","35","30","52750","50600"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","155","145","41650","38180"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","15","15","38330","34480"
"In post","2021","Attorney General's Departments","Greater Manchester","Manchester","365","335","41260","38000"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Portsmouth","110","105","38780","30110"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","South Hampshire","150","140","45830","50520"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Warwickshire","[c]","[c]","[c]","[c]"
