"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G7","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G7","Male","35","35","53600","53420"
"In post","2021","Analysis","Digital, Data and Technology","HEO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","HEO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO","Female","40","35","42800","42500"
"In post","2021","Analysis","Digital, Data and Technology","SEO","Male","35","35","42130","42420"
"In post","2021","Analysis","Economics","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","AO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","AO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","EO","Female","40","40","26520","26510"
"In post","2021","Analysis","Economics","EO","Male","45","45","27720","27680"
"In post","2021","Analysis","Economics","G6","Female","45","45","71370","67140"
"In post","2021","Analysis","Economics","G6","Male","80","80","71590","71640"
"In post","2021","Analysis","Economics","G7","Female","130","125","55410","54840"
"In post","2021","Analysis","Economics","G7","Male","250","245","56350","55730"
"In post","2021","Analysis","Economics","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","HEO","Female","165","160","33560","33610"
"In post","2021","Analysis","Economics","HEO","Male","355","355","34220","33880"
"In post","2021","Analysis","Economics","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","SCS level","Male","40","40","89010","81770"
"In post","2021","Analysis","Economics","SEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Economics","SEO","Male","45","40","42720","42470"
"In post","2021","Analysis","Economics","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","HEO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","G6","Female","30","30","66780","66230"
"In post","2021","Analysis","Intelligence Analysis","G6","Male","30","30","67980","66230"
"In post","2021","Analysis","Intelligence Analysis","G7","Female","70","65","53690","53360"
"In post","2021","Analysis","Intelligence Analysis","G7","Male","70","70","53980","53360"
"In post","2021","Analysis","Intelligence Analysis","HEO","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","SEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","EO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","HEO","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","HEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","SEO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","AO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","AO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","EO","Female","110","95","25120","24240"
"In post","2021","Analysis","Operational Delivery","EO","Male","65","60","24560","24380"
"In post","2021","Analysis","Operational Delivery","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","G7","Female","30","25","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","G7","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","HEO","Female","90","85","30880","30130"
"In post","2021","Analysis","Operational Delivery","HEO","Male","95","95","30780","30000"
"In post","2021","Analysis","Operational Delivery","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
