"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA","Heterosexual / straight","700","655","19480","19560"
"In post","2021","East Midlands (England)","AA","LGBO","35","35","19640","20600"
"In post","2021","East Midlands (England)","AA","Undeclared","105","95","19070","19560"
"In post","2021","East Midlands (England)","AA","Unknown","225","205","19900","20600"
"In post","2021","East Midlands (England)","AO","Heterosexual / straight","4410","3995","22440","21010"
"In post","2021","East Midlands (England)","AO","LGBO","250","240","23340","21440"
"In post","2021","East Midlands (England)","AO","Undeclared","590","520","22530","21010"
"In post","2021","East Midlands (England)","AO","Unknown","1690","1510","22330","21010"
"In post","2021","East Midlands (England)","EO","Heterosexual / straight","3920","3635","27040","27570"
"In post","2021","East Midlands (England)","EO","LGBO","260","250","26870","27570"
"In post","2021","East Midlands (England)","EO","Undeclared","595","540","27160","27410"
"In post","2021","East Midlands (England)","EO","Unknown","1345","1225","27040","27570"
"In post","2021","East Midlands (England)","G6","Heterosexual / straight","195","190","68600","64670"
"In post","2021","East Midlands (England)","G6","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Undeclared","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Unknown","45","45","68750","64770"
"In post","2021","East Midlands (England)","G7","Heterosexual / straight","820","780","54830","52580"
"In post","2021","East Midlands (England)","G7","LGBO","40","40","55070","52580"
"In post","2021","East Midlands (England)","G7","Undeclared","105","100","55220","52590"
"In post","2021","East Midlands (England)","G7","Unknown","180","170","54220","52580"
"In post","2021","East Midlands (England)","HEO","Heterosexual / straight","2000","1900","32610","31910"
"In post","2021","East Midlands (England)","HEO","LGBO","95","95","32340","31810"
"In post","2021","East Midlands (England)","HEO","Undeclared","300","285","33080","32180"
"In post","2021","East Midlands (England)","HEO","Unknown","610","580","32450","31810"
"In post","2021","East Midlands (England)","SCS level","Heterosexual / straight","70","70","89240","82730"
"In post","2021","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","SEO","Heterosexual / straight","1240","1175","41440","39870"
"In post","2021","East Midlands (England)","SEO","LGBO","55","55","41960","38960"
"In post","2021","East Midlands (England)","SEO","Undeclared","190","185","42470","40580"
"In post","2021","East Midlands (England)","SEO","Unknown","250","240","40640","39100"
"In post","2021","East Midlands (England)","Unknown","Heterosexual / straight","785","720","30080","30210"
