"Status","Year","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","The National Archives","SEO/HEO","10","[c]","38050","37480"
"Leaver CS","2021","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","SEO/HEO","10","[c]","43520","43730"
"Leaver CS","2021","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","SEO/HEO","10","[c]","36500","36500"
"Leaver CS","2021","United Kingdom Statistics Authority","AA/AO","155","[c]","19450","19130"
"Leaver CS","2021","United Kingdom Statistics Authority","EO","25","[c]","23910","23050"
"Leaver CS","2021","United Kingdom Statistics Authority","G6/G7","35","[c]","53080","51640"
"Leaver CS","2021","United Kingdom Statistics Authority","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","SEO/HEO","80","[c]","34280","36030"
"Leaver CS","2021","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","G6/G7","10","[c]","80350","76660"
"Leaver CS","2021","Water Services Regulation Authority","SEO/HEO","20","[c]","43590","42410"
"Leaver CS","2021","Welsh Government","AA/AO","30","[c]","22650","23250"
"Leaver CS","2021","Welsh Government","EO","25","[c]","28360","28850"
"Leaver CS","2021","Welsh Government","G6/G7","30","[c]","62860","60830"
"Leaver CS","2021","Welsh Government","SCS level","15","[c]","88710","80410"
"Leaver CS","2021","Welsh Government","SEO/HEO","45","[c]","38740","37410"
"Leaver Dept.","2021","Attorney General's Departments","AA/AO","30","[c]","22790","23470"
"Leaver Dept.","2021","Attorney General's Departments","EO","30","[c]","27220","27350"
"Leaver Dept.","2021","Attorney General's Departments","G6/G7","85","[c]","58200","55000"
"Leaver Dept.","2021","Attorney General's Departments","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Departments","SEO/HEO","45","[c]","34680","33090"
"Leaver Dept.","2021","Cabinet Office","AA/AO","50","[c]","21350","20800"
"Leaver Dept.","2021","Cabinet Office","EO","125","[c]","27120","27500"
"Leaver Dept.","2021","Cabinet Office","G6/G7","315","[c]","57420","55210"
"Leaver Dept.","2021","Cabinet Office","SCS level","60","[c]","84400","77770"
"Leaver Dept.","2021","Cabinet Office","SEO/HEO","835","[c]","33000","32000"
"Leaver Dept.","2021","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","SEO/HEO","10","[c]","34720","37330"
"Leaver Dept.","2021","Competition and Markets Authority","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","AA/AO","35","[c]","20950","20880"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","EO","75","[c]","25810","24570"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","G6/G7","215","[c]","56060","53600"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","SCS level","30","[c]","92220","79720"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","255","[c]","35650","33980"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","EO","30","[c]","25460","25110"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","G6/G7","85","[c]","55210","52580"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","85","[c]","34880","32660"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education","EO","35","[c]","27940","28500"
"Leaver Dept.","2021","Department for Education","G6/G7","75","[c]","56420","54400"
"Leaver Dept.","2021","Department for Education","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Education","SEO/HEO","115","[c]","36510","36960"
"Leaver Dept.","2021","Department for Education","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","AA/AO","65","[c]","21250","21050"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","EO","65","[c]","27810","27550"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","G6/G7","115","[c]","55630","54280"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","SCS level","15","[c]","79150","75390"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","280","[c]","35360","34620"
"Leaver Dept.","2021","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","EO","25","[c]","26550","26200"
"Leaver Dept.","2021","Department for International Trade","G6/G7","95","[c]","55160","52590"
"Leaver Dept.","2021","Department for International Trade","SCS level","10","[c]","89920","74920"
"Leaver Dept.","2021","Department for International Trade","SEO/HEO","135","[c]","34860","33510"
"Leaver Dept.","2021","Department for Transport","AA/AO","90","[c]","21200","21590"
"Leaver Dept.","2021","Department for Transport","EO","65","[c]","27940","26740"
"Leaver Dept.","2021","Department for Transport","G6/G7","65","[c]","57500","54760"
"Leaver Dept.","2021","Department for Transport","SCS level","10","[c]","92670","80070"
"Leaver Dept.","2021","Department for Transport","SEO/HEO","175","[c]","37330","35430"
"Leaver Dept.","2021","Department for Work and Pensions","AA/AO","340","[c]","21190","21010"
"Leaver Dept.","2021","Department for Work and Pensions","EO","655","[c]","28060","27570"
"Leaver Dept.","2021","Department for Work and Pensions","G6/G7","95","[c]","58040","56190"
"Leaver Dept.","2021","Department for Work and Pensions","SCS level","15","[c]","83120","80060"
"Leaver Dept.","2021","Department for Work and Pensions","SEO/HEO","285","[c]","34970","34290"
"Leaver Dept.","2021","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","EO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","G6/G7","80","[c]","56280","53860"
"Leaver Dept.","2021","Department of Health and Social Care","SCS level","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care","SEO/HEO","90","[c]","37460","38680"
"Leaver Dept.","2021","Department of Health and Social Care","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","G6/G7","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","SEO/HEO","25","[c]","35630","33090"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","EO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","G6/G7","120","[c]","57540","55250"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","SCS level","20","[c]","77910","76280"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","SEO/HEO","160","[c]","38430","38600"
"Leaver Dept.","2021","HM Revenue and Customs","AA/AO","720","[c]","20840","21100"
"Leaver Dept.","2021","HM Revenue and Customs","EO","335","[c]","25870","25860"
"Leaver Dept.","2021","HM Revenue and Customs","G6/G7","175","[c]","59820","57720"
"Leaver Dept.","2021","HM Revenue and Customs","SCS level","30","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs","SEO/HEO","355","[c]","36280","35030"
"Leaver Dept.","2021","HM Revenue and Customs","Unknown","80","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","G6/G7","55","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","SCS level","15","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury","SEO/HEO","80","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office","AA/AO","155","[c]","21800","21010"
"Leaver Dept.","2021","Home Office","EO","350","[c]","26290","25160"
"Leaver Dept.","2021","Home Office","G6/G7","165","[c]","59980","57460"
"Leaver Dept.","2021","Home Office","SCS level","25","[c]","89400","79900"
"Leaver Dept.","2021","Home Office","SEO/HEO","375","[c]","36890","35200"
"Leaver Dept.","2021","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence","AA/AO","75","[c]","21520","20920"
"Leaver Dept.","2021","Ministry of Defence","EO","160","[c]","25000","25970"
"Leaver Dept.","2021","Ministry of Defence","G6/G7","155","[c]","56500","55640"
"Leaver Dept.","2021","Ministry of Defence","SCS level","15","[c]","95360","83380"
"Leaver Dept.","2021","Ministry of Defence","SEO/HEO","445","[c]","35110","33540"
"Leaver Dept.","2021","Ministry of Defence","Unknown","15","[c]","45950","44210"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","AA/AO","10","[c]","21650","22620"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","EO","60","[c]","27190","27310"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","G6/G7","120","[c]","55240","52690"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","170","[c]","34920","33210"
"Leaver Dept.","2021","Ministry of Justice","AA/AO","460","[c]","20100","19930"
"Leaver Dept.","2021","Ministry of Justice","EO","240","[c]","24220","22720"
"Leaver Dept.","2021","Ministry of Justice","G6/G7","120","[c]","58130","58130"
"Leaver Dept.","2021","Ministry of Justice","SCS level","25","[c]","94320","88220"
"Leaver Dept.","2021","Ministry of Justice","SEO/HEO","390","[c]","35470","34460"
"Leaver Dept.","2021","Ministry of Justice","Unknown","80","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","AA/AO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","EO","15","[c]","33060","33100"
"Leaver Dept.","2021","National Crime Agency","G6/G7","15","[c]","66870","64010"
"Leaver Dept.","2021","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","SEO/HEO","25","[c]","44450","45860"
"Leaver Dept.","2021","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","G6/G7","15","[c]","56360","52850"
"Leaver Dept.","2021","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","SEO/HEO","10","[c]","36670","36800"
"Leaver Dept.","2021","Office for Standards in Education","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education","EO","10","[c]","26600","25880"
"Leaver Dept.","2021","Office for Standards in Education","G6/G7","15","[c]","66320","62810"
"Leaver Dept.","2021","Office for Standards in Education","SEO/HEO","20","[c]","35330","32010"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","EO","15","[c]","25730","25750"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","G6/G7","20","[c]","57420","55220"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","SEO/HEO","15","[c]","37040","35970"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","G6/G7","15","[c]","51320","53150"
"Leaver Dept.","2021","Other Cabinet Office Agencies","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other Cabinet Office Agencies","SEO/HEO","15","[c]","34710","34800"
"Leaver Dept.","2021","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government","AA/AO","25","[c]","22560","22220"
"Leaver Dept.","2021","Scottish Government","EO","15","[c]","27940","29190"
"Leaver Dept.","2021","Scottish Government","G6/G7","15","[c]","60490","60220"
"Leaver Dept.","2021","Scottish Government","SEO/HEO","25","[c]","37220","36010"
"Leaver Dept.","2021","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","AA/AO","25","[c]","19510","19130"
"Leaver Dept.","2021","United Kingdom Statistics Authority","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","G6/G7","35","[c]","55510","54440"
"Leaver Dept.","2021","United Kingdom Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","SEO/HEO","85","[c]","33640","33070"
"Leaver Dept.","2021","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government","SEO/HEO","20","[c]","39840","37410"
"New entrant CS","2021","Attorney General's Departments","AA/AO","320","[c]","20470","20120"
"New entrant CS","2021","Attorney General's Departments","EO","185","[c]","27170","26970"
"New entrant CS","2021","Attorney General's Departments","G6/G7","330","[c]","52770","50520"
"New entrant CS","2021","Attorney General's Departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Attorney General's Departments","SEO/HEO","175","[c]","39570","40000"
"New entrant CS","2021","Cabinet Office","AA/AO","165","[c]","21600","20800"
"New entrant CS","2021","Cabinet Office","EO","255","[c]","26830","27500"
"New entrant CS","2021","Cabinet Office","G6/G7","255","[c]","62530","55000"
"New entrant CS","2021","Cabinet Office","SCS level","185","[c]","84080","72000"
"New entrant CS","2021","Cabinet Office","SEO/HEO","875","[c]","30970","28000"
"New entrant CS","2021","Chancellor's other departments","AA/AO","15","[c]","22580","21990"
"New entrant CS","2021","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","G6/G7","15","[c]","68250","67000"
"New entrant CS","2021","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Chancellor's other departments","SEO/HEO","20","[c]","40570","40000"
"New entrant CS","2021","Charity Commission","AA/AO","5","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","EO","20","[c]","24440","24440"
"New entrant CS","2021","Charity Commission","G6/G7","10","[c]","57060","52910"
"New entrant CS","2021","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Charity Commission","SEO/HEO","20","[c]","33160","29160"
"New entrant CS","2021","Competition and Markets Authority","AA/AO","10","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","EO","10","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","G6/G7","40","[c]","60910","57140"
"New entrant CS","2021","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Competition and Markets Authority","SEO/HEO","15","[c]","37310","35500"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","AA/AO","250","[c]","21390","20880"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","EO","410","[c]","25790","24250"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","G6/G7","150","[c]","57070","53380"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","SCS level","10","[c]","100590","90000"
"New entrant CS","2021","Department for Business, Energy and Industrial Strategy","SEO/HEO","675","[c]","35580","33570"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","AA/AO","5","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","EO","75","[c]","27180","26180"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","G6/G7","90","[c]","56040","51730"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Department for Digital, Culture, Media and Sport","SEO/HEO","225","[c]","35970","34020"
"New entrant CS","2021","Department for Education","AA/AO","15","[c]","21740","21000"
"New entrant CS","2021","Department for Education","EO","245","[c]","26010","25000"
"New entrant CS","2021","Department for Education","G6/G7","150","[c]","54630","53420"
"New entrant CS","2021","Department for Education","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","Department for Education","SEO/HEO","350","[c]","34540","36500"
"New entrant CS","2021","Department for Education","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","AA/AO","330","[c]","21850","21050"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","EO","380","[c]","25070","24920"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","G6/G7","220","[c]","53780","52290"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","SCS level","25","[c]","89110","81050"
"New entrant CS","2021","Department for Environment, Food and Rural Affairs","SEO/HEO","660","[c]","33460","32560"
"New entrant CS","2021","Department for International Trade","AA/AO","50","[c]","19050","18200"
"New entrant CS","2021","Department for International Trade","EO","75","[c]","25790","26250"
"New entrant CS","2021","Department for International Trade","G6/G7","50","[c]","55260","54000"
"New entrant CS","2021","Department for International Trade","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Department for International Trade","SEO/HEO","210","[c]","33790","31800"
"New entrant CS","2021","Department for Transport","AA/AO","490","[c]","21640","21590"
"New entrant CS","2021","Department for Transport","EO","300","[c]","26970","26130"
"New entrant CS","2021","Department for Transport","G6/G7","130","[c]","58910","54650"
"New entrant CS","2021","Department for Transport","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","Department for Transport","SEO/HEO","485","[c]","35670","34710"
"New entrant CS","2021","Department for Work and Pensions","AA/AO","5570","[c]","21600","21010"
"New entrant CS","2021","Department for Work and Pensions","EO","10960","[c]","28570","27570"
"New entrant CS","2021","Department for Work and Pensions","G6/G7","175","[c]","58000","56000"
"New entrant CS","2021","Department for Work and Pensions","SCS level","10","[c]","105970","105000"
"New entrant CS","2021","Department for Work and Pensions","SEO/HEO","460","[c]","35830","35310"
"New entrant CS","2021","Department of Health and Social Care","AA/AO","455","[c]","20600","19630"
"New entrant CS","2021","Department of Health and Social Care","EO","600","[c]","25820","26880"
"New entrant CS","2021","Department of Health and Social Care","G6/G7","520","[c]","56610","53360"
"New entrant CS","2021","Department of Health and Social Care","SCS level","130","[c]","95110","88900"
"New entrant CS","2021","Department of Health and Social Care","SEO/HEO","1615","[c]","34650","32790"
"New entrant CS","2021","ESTYN","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","EO","15","[c]","24700","23370"
"New entrant CS","2021","Food Standards Agency","G6/G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","SEO/HEO","70","[c]","35030","32830"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","AA/AO","555","[c]","22520","22350"
"New entrant CS","2021","HM Land Registry","EO","50","[c]","27820","27130"
"New entrant CS","2021","HM Land Registry","G6/G7","30","[c]","59100","57000"
"New entrant CS","2021","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Land Registry","SEO/HEO","65","[c]","39440","38550"
"New entrant CS","2021","HM Revenue and Customs","AA/AO","3045","[c]","20290","20140"
"New entrant CS","2021","HM Revenue and Customs","EO","1115","[c]","25680","25560"
"New entrant CS","2021","HM Revenue and Customs","G6/G7","135","[c]","58330","53100"
"New entrant CS","2021","HM Revenue and Customs","SCS level","20","[c]","96780","88500"
"New entrant CS","2021","HM Revenue and Customs","SEO/HEO","765","[c]","33840","31810"
"New entrant CS","2021","HM Revenue and Customs","Unknown","325","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","AA/AO","45","[c]","22480","22500"
"New entrant CS","2021","HM Treasury","EO","85","[c]","25400","24300"
"New entrant CS","2021","HM Treasury","G6/G7","65","[c]","56120","55000"
"New entrant CS","2021","HM Treasury","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury","SEO/HEO","275","[c]","32290","32320"
"New entrant CS","2021","Home Office","AA/AO","600","[c]","21760","21430"
"New entrant CS","2021","Home Office","EO","865","[c]","26630","24880"
"New entrant CS","2021","Home Office","G6/G7","225","[c]","59700","57430"
"New entrant CS","2021","Home Office","SCS level","20","[c]","101330","92990"
"New entrant CS","2021","Home Office","SEO/HEO","455","[c]","37740","36590"
"New entrant CS","2021","Home Office","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","AA/AO","1530","[c]","22020","20920"
"New entrant CS","2021","Ministry of Defence","EO","975","[c]","25200","26350"
"New entrant CS","2021","Ministry of Defence","G6/G7","250","[c]","62450","57000"
"New entrant CS","2021","Ministry of Defence","SCS level","15","[c]","102420","94000"
"New entrant CS","2021","Ministry of Defence","SEO/HEO","1215","[c]","35820","34000"
"New entrant CS","2021","Ministry of Defence","Unknown","235","[c]","35470","31000"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","AA/AO","65","[c]","21620","21270"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","EO","85","[c]","26780","27850"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","G6/G7","90","[c]","53000","53130"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","SCS level","15","[c]","96070","84000"
"New entrant CS","2021","Ministry of Housing, Communities and Local Government","SEO/HEO","180","[c]","34720","33210"
"New entrant CS","2021","Ministry of Justice","AA/AO","5725","[c]","22330","21980"
"New entrant CS","2021","Ministry of Justice","EO","515","[c]","24470","24620"
"New entrant CS","2021","Ministry of Justice","G6/G7","205","[c]","57730","56000"
"New entrant CS","2021","Ministry of Justice","SCS level","10","[c]","100980","1e+05"
"New entrant CS","2021","Ministry of Justice","SEO/HEO","880","[c]","32800","30990"
"New entrant CS","2021","Ministry of Justice","Unknown","1445","[c]","22940","22920"
"New entrant CS","2021","National Crime Agency","AA/AO","85","[c]","21890","20800"
"New entrant CS","2021","National Crime Agency","EO","670","[c]","30950","32260"
"New entrant CS","2021","National Crime Agency","G6/G7","45","[c]","61670","59160"
"New entrant CS","2021","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","National Crime Agency","SEO/HEO","255","[c]","41940","40210"
"New entrant CS","2021","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland Office","G6/G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Northern Ireland Office","SEO/HEO","10","[c]","35030","36800"
"New entrant CS","2021","Office for Standards in Education","AA/AO","15","[c]","20550","21060"
"New entrant CS","2021","Office for Standards in Education","EO","20","[c]","26690","25880"
"New entrant CS","2021","Office for Standards in Education","G6/G7","60","[c]","72610","75500"
"New entrant CS","2021","Office for Standards in Education","SEO/HEO","75","[c]","41900","42460"
"New entrant CS","2021","Office of Gas and Electricity Markets","AA/AO","45","[c]","19140","18180"
"New entrant CS","2021","Office of Gas and Electricity Markets","EO","125","[c]","24900","25000"
"New entrant CS","2021","Office of Gas and Electricity Markets","G6/G7","50","[c]","61370","59500"
"New entrant CS","2021","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Office of Gas and Electricity Markets","SEO/HEO","85","[c]","36330","36000"
"New entrant CS","2021","Office of Qualifications and Examinations Regulation","AA/AO","[c]","[c]","[c]","[c]"
