"Status","Year","Ethnicity","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","AA/AO","AA","275","245","22160","22210"
"In post","2021","Asian","London","AA/AO","AO","2155","1920","25080","25110"
"In post","2021","Asian","London","EO","EO","4560","4245","29820","30070"
"In post","2021","Asian","London","G6/G7","G6","460","445","69180","67520"
"In post","2021","Asian","London","G6/G7","G7","1625","1585","56680","55930"
"In post","2021","Asian","London","SCS level","SCS level","220","215","91820","83720"
"In post","2021","Asian","London","SEO/HEO","HEO","2590","2515","35440","35200"
"In post","2021","Asian","London","SEO/HEO","SEO","1550","1520","42660","41970"
"In post","2021","Asian","London","Unknown","Unknown","125","120","32150","32090"
"In post","2021","Asian","Outside London","AA/AO","AA","380","335","19650","19560"
"In post","2021","Asian","Outside London","AA/AO","AO","5130","4490","21210","21010"
"In post","2021","Asian","Outside London","EO","EO","5160","4825","26850","27570"
"In post","2021","Asian","Outside London","G6/G7","G6","140","135","68300","65980"
"In post","2021","Asian","Outside London","G6/G7","G7","730","705","54170","52580"
"In post","2021","Asian","Outside London","SCS level","SCS level","80","80","96460","93860"
"In post","2021","Asian","Outside London","SEO/HEO","HEO","2040","1960","32250","31810"
"In post","2021","Asian","Outside London","SEO/HEO","SEO","1155","1125","40760","38630"
"In post","2021","Asian","Outside London","Unknown","Unknown","460","425","29330","28200"
"In post","2021","Asian","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","EO","20","20","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","G6","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","G7","25","25","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","HEO","35","35","35140","34220"
"In post","2021","Asian","Overseas","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","AO","60","45","23710","25110"
"In post","2021","Asian","Unknown","EO","EO","70","65","29010","27570"
"In post","2021","Asian","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AA/AO","AA","305","290","23100","22650"
"In post","2021","Black","London","AA/AO","AO","1985","1860","26120","25110"
"In post","2021","Black","London","EO","EO","3540","3395","30170","31060"
"In post","2021","Black","London","G6/G7","G6","160","160","69810","68940"
"In post","2021","Black","London","G6/G7","G7","810","800","56720","55640"
"In post","2021","Black","London","SCS level","SCS level","65","65","90840","80230"
"In post","2021","Black","London","SEO/HEO","HEO","1670","1645","35370","35200"
"In post","2021","Black","London","SEO/HEO","SEO","985","975","42760","41970"
"In post","2021","Black","London","Unknown","Unknown","450","445","32720","30670"
"In post","2021","Black","Outside London","AA/AO","AA","210","200","20320","20600"
"In post","2021","Black","Outside London","AA/AO","AO","1570","1440","22440","21010"
"In post","2021","Black","Outside London","EO","EO","1845","1760","27290","27570"
"In post","2021","Black","Outside London","G6/G7","G6","30","30","[c]","[c]"
"In post","2021","Black","Outside London","G6/G7","G7","250","245","53500","52080"
"In post","2021","Black","Outside London","SCS level","SCS level","30","30","[c]","[c]"
"In post","2021","Black","Outside London","SEO/HEO","HEO","745","720","32300","31810"
"In post","2021","Black","Outside London","SEO/HEO","SEO","465","455","41020","39400"
"In post","2021","Black","Outside London","Unknown","Unknown","360","340","29290","28200"
"In post","2021","Black","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Black","Overseas","EO","EO","10","10","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","G7","15","15","[c]","[c]"
"In post","2021","Black","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","AO","15","15","[c]","[c]"
"In post","2021","Black","Unknown","EO","EO","25","25","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","AO","45","45","25630","25110"
"In post","2021","Chinese","London","EO","EO","120","115","29560","29500"
"In post","2021","Chinese","London","G6/G7","G6","45","45","68390","67640"
"In post","2021","Chinese","London","G6/G7","G7","145","140","56250","54700"
"In post","2021","Chinese","London","SCS level","SCS level","15","15","[c]","[c]"
"In post","2021","Chinese","London","SEO/HEO","HEO","135","130","35710","35100"
"In post","2021","Chinese","London","SEO/HEO","SEO","85","85","42660","41970"
"In post","2021","Chinese","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","AA/AO","AA","25","25","[c]","[c]"
"In post","2021","Chinese","Outside London","AA/AO","AO","190","170","21690","21010"
"In post","2021","Chinese","Outside London","EO","EO","175","165","26620","26160"
"In post","2021","Chinese","Outside London","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","G6/G7","G7","50","50","53010","52580"
"In post","2021","Chinese","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","SEO/HEO","HEO","90","90","32370","31810"
"In post","2021","Chinese","Outside London","SEO/HEO","SEO","80","75","41330","39610"
"In post","2021","Chinese","Outside London","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
