"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","Female","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Female","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","Male","15","15","[c]","[c]"
