"Status","Year","Function_of_post","Organisation","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Heterosexual / straight","80","70","31620","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Female","Unknown","120","110","30350","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Heterosexual / straight","95","90","33950","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Undeclared","20","15","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Male","Unknown","155","150","37590","35900"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","Heterosexual / straight","40","40","57350","56110"
"In post","2021","Analysis","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Male","Heterosexual / straight","60","55","60800","56360"
"In post","2021","Analysis","Competition and Markets Authority","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Female","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
