"Status","Year","Function_of_post","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","AA/AO","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","EO","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","G6","90","80","92120","89720"
"In post","2021","Analysis","Chancellor's other departments","G6/G7","G7","15","15","58140","57250"
"In post","2021","Analysis","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","HEO","30","30","35840","36120"
"In post","2021","Analysis","Chancellor's other departments","SEO/HEO","SEO","25","25","47770","48610"
"In post","2021","Analysis","Charity Commission","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
