"Status","Year","Age","Profession_of_post","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Planning Inspectors","Outside London","G6/G7","45","45","51610","47660"
"In post","2021","30-39","Policy","London","AA/AO","40","35","25260","24440"
"In post","2021","30-39","Policy","London","EO","230","220","29090","28670"
"In post","2021","30-39","Policy","London","G6/G7","3290","3205","58620","57430"
"In post","2021","30-39","Policy","London","SCS level","355","340","77330","74100"
"In post","2021","30-39","Policy","London","SEO/HEO","1770","1735","38530","38900"
"In post","2021","30-39","Policy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Policy","Outside London","AA/AO","80","75","21540","21590"
"In post","2021","30-39","Policy","Outside London","EO","215","205","27180","26870"
"In post","2021","30-39","Policy","Outside London","G6/G7","565","545","53770","51300"
"In post","2021","30-39","Policy","Outside London","SCS level","35","30","73840","73500"
"In post","2021","30-39","Policy","Outside London","SEO/HEO","1090","1045","36050","36520"
"In post","2021","30-39","Policy","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Policy","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Policy","Overseas","EO","5","5","[c]","[c]"
"In post","2021","30-39","Policy","Overseas","G6/G7","300","300","56210","54600"
"In post","2021","30-39","Policy","Overseas","SCS level","15","15","75570","73010"
"In post","2021","30-39","Policy","Overseas","SEO/HEO","210","210","35160","34220"
"In post","2021","30-39","Policy","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Policy","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Project Delivery","London","EO","60","60","28910","28990"
"In post","2021","30-39","Project Delivery","London","G6/G7","410","400","59810","57680"
"In post","2021","30-39","Project Delivery","London","SCS level","45","45","85050","78150"
"In post","2021","30-39","Project Delivery","London","SEO/HEO","410","400","38610","38600"
"In post","2021","30-39","Project Delivery","Outside London","AA/AO","40","35","21140","20920"
"In post","2021","30-39","Project Delivery","Outside London","EO","305","290","25790","26350"
"In post","2021","30-39","Project Delivery","Outside London","G6/G7","535","525","52630","52580"
"In post","2021","30-39","Project Delivery","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Project Delivery","Outside London","SEO/HEO","1705","1650","35730","35900"
"In post","2021","30-39","Project Delivery","Outside London","Unknown","130","125","39750","39860"
"In post","2021","30-39","Project Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Overseas","G6/G7","25","25","56140","55060"
"In post","2021","30-39","Project Delivery","Overseas","SEO/HEO","20","20","42070","41800"
"In post","2021","30-39","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Property","London","EO","25","25","29220","29450"
"In post","2021","30-39","Property","London","G6/G7","55","55","61040","61990"
"In post","2021","30-39","Property","London","SEO/HEO","70","65","39470","37450"
"In post","2021","30-39","Property","Outside London","AA/AO","85","80","19690","18800"
"In post","2021","30-39","Property","Outside London","EO","185","175","25950","25930"
"In post","2021","30-39","Property","Outside London","G6/G7","105","105","53840","53200"
"In post","2021","30-39","Property","Outside London","SEO/HEO","445","435","35730","33300"
"In post","2021","30-39","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Overseas","EO","5","5","[c]","[c]"
"In post","2021","30-39","Property","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Property","Overseas","SEO/HEO","30","30","36200","33420"
"In post","2021","30-39","Property","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Psychology","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Psychology","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Psychology","London","SEO/HEO","20","20","40690","40520"
"In post","2021","30-39","Psychology","Outside London","AA/AO","15","10","21480","21300"
"In post","2021","30-39","Psychology","Outside London","EO","135","130","27770","27380"
"In post","2021","30-39","Psychology","Outside London","G6/G7","20","20","55910","56840"
"In post","2021","30-39","Psychology","Outside London","SEO/HEO","395","375","36480","31180"
"In post","2021","30-39","Science and Engineering","London","AA/AO","15","15","23940","23690"
"In post","2021","30-39","Science and Engineering","London","EO","20","20","28700","27460"
"In post","2021","30-39","Science and Engineering","London","G6/G7","110","105","57890","54650"
"In post","2021","30-39","Science and Engineering","London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Science and Engineering","London","SEO/HEO","205","195","39120","40070"
"In post","2021","30-39","Science and Engineering","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Outside London","AA/AO","160","150","21490","21080"
"In post","2021","30-39","Science and Engineering","Outside London","EO","265","260","26300","26670"
"In post","2021","30-39","Science and Engineering","Outside London","G6/G7","450","440","50420","46910"
"In post","2021","30-39","Science and Engineering","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Outside London","SEO/HEO","1515","1460","36530","37320"
"In post","2021","30-39","Science and Engineering","Outside London","Unknown","170","170","42430","40470"
"In post","2021","30-39","Science and Engineering","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Overseas","SEO/HEO","25","25","42080","41260"
"In post","2021","30-39","Science and Engineering","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Science and Engineering","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Security","London","AA/AO","65","65","27220","25390"
"In post","2021","30-39","Security","London","EO","30","30","32010","30300"
"In post","2021","30-39","Security","London","G6/G7","45","45","59150","58120"
"In post","2021","30-39","Security","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","London","SEO/HEO","120","115","41120","41860"
"In post","2021","30-39","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Outside London","AA/AO","895","890","28790","26750"
"In post","2021","30-39","Security","Outside London","EO","165","165","34440","33520"
"In post","2021","30-39","Security","Outside London","G6/G7","20","20","56690","54510"
"In post","2021","30-39","Security","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Outside London","SEO/HEO","165","165","36780","36480"
"In post","2021","30-39","Security","Outside London","Unknown","15","15","31610","31920"
"In post","2021","30-39","Security","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Security","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","30-39","Social Research","London","EO","5","5","[c]","[c]"
"In post","2021","30-39","Social Research","London","G6/G7","70","70","58850","58130"
"In post","2021","30-39","Social Research","London","SEO/HEO","55","55","40590","41970"
"In post","2021","30-39","Social Research","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Social Research","Outside London","EO","5","5","[c]","[c]"
"In post","2021","30-39","Social Research","Outside London","G6/G7","60","55","51030","49120"
"In post","2021","30-39","Social Research","Outside London","SEO/HEO","160","150","36500","37020"
"In post","2021","30-39","Statistics","London","EO","15","15","30030","29570"
"In post","2021","30-39","Statistics","London","G6/G7","120","115","57780","57920"
"In post","2021","30-39","Statistics","London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Statistics","London","SEO/HEO","105","100","39520","40480"
"In post","2021","30-39","Statistics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Statistics","Outside London","EO","25","25","26710","26670"
"In post","2021","30-39","Statistics","Outside London","G6/G7","115","110","53150","51000"
"In post","2021","30-39","Statistics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Statistics","Outside London","SEO/HEO","210","205","36330","37020"
"In post","2021","30-39","Statistics","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Tax","London","AA/AO","5","5","[c]","[c]"
"In post","2021","30-39","Tax","London","EO","55","55","29580","29570"
"In post","2021","30-39","Tax","London","G6/G7","130","125","60670","59160"
"In post","2021","30-39","Tax","London","SCS level","10","10","77470","76860"
"In post","2021","30-39","Tax","London","SEO/HEO","175","170","37120","36160"
"In post","2021","30-39","Tax","Outside London","AA/AO","820","770","20160","20140"
"In post","2021","30-39","Tax","Outside London","EO","885","855","25460","25560"
"In post","2021","30-39","Tax","Outside London","G6/G7","580","570","53500","52580"
"In post","2021","30-39","Tax","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","30-39","Tax","Outside London","SEO/HEO","1700","1660","32760","31810"
"In post","2021","30-39","Tax","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","London","AA/AO","180","160","24760","25110"
"In post","2021","30-39","Unknown","London","EO","1325","1270","30750","31060"
"In post","2021","30-39","Unknown","London","G6/G7","1310","1285","59560","56830"
"In post","2021","30-39","Unknown","London","SCS level","230","225","78200","72840"
"In post","2021","30-39","Unknown","London","SEO/HEO","910","900","37620","36650"
"In post","2021","30-39","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Outside London","AA/AO","5125","4470","21190","21010"
"In post","2021","30-39","Unknown","Outside London","EO","8320","7765","27620","27570"
"In post","2021","30-39","Unknown","Outside London","G6/G7","1145","1115","56900","54540"
"In post","2021","30-39","Unknown","Outside London","SCS level","65","65","76090","71800"
"In post","2021","30-39","Unknown","Outside London","SEO/HEO","3250","3135","35520","33620"
"In post","2021","30-39","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","G6/G7","15","15","57640","55000"
"In post","2021","30-39","Unknown","Overseas","SEO/HEO","15","15","41840","34770"
"In post","2021","30-39","Unknown","Overseas","Unknown","75","75","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","AA/AO","25","25","21300","21010"
"In post","2021","30-39","Unknown","Unknown","EO","120","115","27610","27570"
"In post","2021","30-39","Unknown","Unknown","G6/G7","40","40","57260","54700"
"In post","2021","30-39","Unknown","Unknown","SCS level","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","SEO/HEO","115","115","33170","32000"
"In post","2021","30-39","Veterinarian","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Veterinarian","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Veterinarian","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Veterinarian","Outside London","G6/G7","15","15","50800","50220"
"In post","2021","30-39","Veterinarian","Outside London","SEO/HEO","80","80","37370","37170"
"In post","2021","40-49","Commercial","London","AA/AO","15","10","24370","24440"
"In post","2021","40-49","Commercial","London","EO","20","20","29950","30110"
"In post","2021","40-49","Commercial","London","G6/G7","75","75","63420","64750"
"In post","2021","40-49","Commercial","London","SCS level","25","25","91350","81020"
"In post","2021","40-49","Commercial","London","SEO/HEO","95","90","42270","42470"
"In post","2021","40-49","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Outside London","AA/AO","45","40","22350","21590"
"In post","2021","40-49","Commercial","Outside London","EO","100","95","26160","26600"
"In post","2021","40-49","Commercial","Outside London","G6/G7","260","255","57580","55300"
"In post","2021","40-49","Commercial","Outside London","SCS level","15","15","91670","78560"
"In post","2021","40-49","Commercial","Outside London","SEO/HEO","625","600","37480","37400"
"In post","2021","40-49","Commercial","Outside London","Unknown","45","45","41490","40290"
"In post","2021","40-49","Commercial","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","London","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Communications","London","EO","35","35","29230","28920"
"In post","2021","40-49","Communications","London","G6/G7","205","190","60730","59160"
"In post","2021","40-49","Communications","London","SCS level","55","55","87050","80360"
"In post","2021","40-49","Communications","London","SEO/HEO","170","165","41240","40960"
"In post","2021","40-49","Communications","Outside London","AA/AO","35","30","21500","21130"
"In post","2021","40-49","Communications","Outside London","EO","85","80","26920","26670"
"In post","2021","40-49","Communications","Outside London","G6/G7","130","125","54700","52580"
"In post","2021","40-49","Communications","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","40-49","Communications","Outside London","SEO/HEO","315","295","37290","37150"
"In post","2021","40-49","Communications","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Communications","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","London","G6/G7","10","10","[c]","[c]"
"In post","2021","40-49","Corporate Finance","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","40-49","Corporate Finance","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","Outside London","G6/G7","10","10","59580","56350"
"In post","2021","40-49","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Corporate Finance","Outside London","SEO/HEO","15","15","35930","34530"
"In post","2021","40-49","Counter Fraud","London","EO","10","10","28640","29080"
"In post","2021","40-49","Counter Fraud","London","G6/G7","20","20","63600","63000"
"In post","2021","40-49","Counter Fraud","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Counter Fraud","London","SEO/HEO","40","35","39500","40390"
"In post","2021","40-49","Counter Fraud","Outside London","AA/AO","10","10","20820","21430"
"In post","2021","40-49","Counter Fraud","Outside London","EO","30","25","25400","25310"
"In post","2021","40-49","Counter Fraud","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","40-49","Counter Fraud","Outside London","SEO/HEO","95","90","36830","37910"
"In post","2021","40-49","Digital, Data and Technology","London","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Digital, Data and Technology","London","EO","40","40","29970","29530"
"In post","2021","40-49","Digital, Data and Technology","London","G6/G7","410","405","63140","61780"
"In post","2021","40-49","Digital, Data and Technology","London","SCS level","55","55","96840","93090"
"In post","2021","40-49","Digital, Data and Technology","London","SEO/HEO","385","375","40770","41250"
"In post","2021","40-49","Digital, Data and Technology","London","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Digital, Data and Technology","Outside London","AA/AO","75","70","21700","21580"
"In post","2021","40-49","Digital, Data and Technology","Outside London","EO","410","395","27580","26680"
"In post","2021","40-49","Digital, Data and Technology","Outside London","G6/G7","815","800","56480","53700"
"In post","2021","40-49","Digital, Data and Technology","Outside London","SCS level","45","45","82360","76160"
"In post","2021","40-49","Digital, Data and Technology","Outside London","SEO/HEO","1450","1420","37800","38000"
"In post","2021","40-49","Digital, Data and Technology","Outside London","Unknown","10","10","35650","32580"
"In post","2021","40-49","Digital, Data and Technology","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Digital, Data and Technology","Overseas","SEO/HEO","5","5","[c]","[c]"
"In post","2021","40-49","Economics","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Economics","London","G6/G7","110","105","65630","65400"
"In post","2021","40-49","Economics","London","SCS level","35","35","93310","85100"
"In post","2021","40-49","Economics","London","SEO/HEO","20","20","41370","40560"
"In post","2021","40-49","Economics","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Economics","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Economics","Outside London","G6/G7","45","40","59030","58060"
"In post","2021","40-49","Economics","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Economics","Outside London","SEO/HEO","10","5","[c]","[c]"
"In post","2021","40-49","Economics","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","40-49","Finance","London","AA/AO","10","10","24500","25060"
"In post","2021","40-49","Finance","London","EO","60","60","29170","29500"
"In post","2021","40-49","Finance","London","G6/G7","275","270","62300","60520"
"In post","2021","40-49","Finance","London","SCS level","70","70","90760","84170"
"In post","2021","40-49","Finance","London","SEO/HEO","280","275","40210","40590"
"In post","2021","40-49","Finance","Outside London","AA/AO","185","160","21320","21440"
"In post","2021","40-49","Finance","Outside London","EO","275","260","26360","26670"
"In post","2021","40-49","Finance","Outside London","G6/G7","435","425","56880","55000"
"In post","2021","40-49","Finance","Outside London","SCS level","40","40","87030","78570"
"In post","2021","40-49","Finance","Outside London","SEO/HEO","765","735","36990","36820"
"In post","2021","40-49","Finance","Outside London","Unknown","35","35","45900","46520"
"In post","2021","40-49","Finance","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Finance","Overseas","EO","5","5","[c]","[c]"
"In post","2021","40-49","Finance","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","London","AA/AO","10","10","25880","25630"
"In post","2021","40-49","Human Resources","London","EO","80","75","30200","29940"
"In post","2021","40-49","Human Resources","London","G6/G7","225","215","60410","59140"
"In post","2021","40-49","Human Resources","London","SCS level","60","60","90440","84030"
"In post","2021","40-49","Human Resources","London","SEO/HEO","245","235","40370","39870"
"In post","2021","40-49","Human Resources","Outside London","AA/AO","215","190","21470","21130"
"In post","2021","40-49","Human Resources","Outside London","EO","230","210","26510","26670"
"In post","2021","40-49","Human Resources","Outside London","G6/G7","325","310","55550","54000"
"In post","2021","40-49","Human Resources","Outside London","SCS level","25","25","86140","80000"
"In post","2021","40-49","Human Resources","Outside London","SEO/HEO","660","630","36430","36130"
"In post","2021","40-49","Human Resources","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","40-49","Human Resources","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Human Resources","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Inspector of Education and Training","London","G6/G7","35","35","75270","75500"
"In post","2021","40-49","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Inspector of Education and Training","London","SEO/HEO","35","35","50670","51360"
"In post","2021","40-49","Inspector of Education and Training","Outside London","G6/G7","125","125","74860","75500"
"In post","2021","40-49","Inspector of Education and Training","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Inspector of Education and Training","Outside London","SEO/HEO","70","70","51150","51360"
"In post","2021","40-49","Intelligence Analysis","London","AA/AO","10","10","25390","25630"
"In post","2021","40-49","Intelligence Analysis","London","EO","95","90","29750","29250"
"In post","2021","40-49","Intelligence Analysis","London","G6/G7","80","75","61070","59730"
"In post","2021","40-49","Intelligence Analysis","London","SCS level","10","10","85570","79370"
"In post","2021","40-49","Intelligence Analysis","London","SEO/HEO","110","105","40680","39770"
"In post","2021","40-49","Intelligence Analysis","Outside London","AA/AO","15","15","22480","21430"
"In post","2021","40-49","Intelligence Analysis","Outside London","EO","295","275","27010","26850"
"In post","2021","40-49","Intelligence Analysis","Outside London","G6/G7","30","30","55650","52410"
"In post","2021","40-49","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Intelligence Analysis","Outside London","SEO/HEO","185","180","34820","33300"
"In post","2021","40-49","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Intelligence Analysis","Overseas","G6/G7","5","5","[c]","[c]"
"In post","2021","40-49","Intelligence Analysis","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Intelligence Analysis","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","40-49","Internal Audit","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","London","G6/G7","20","20","62700","60710"
"In post","2021","40-49","Internal Audit","London","SCS level","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","London","SEO/HEO","20","20","46740","48900"
"In post","2021","40-49","Internal Audit","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Outside London","EO","5","5","[c]","[c]"
"In post","2021","40-49","Internal Audit","Outside London","G6/G7","30","30","55540","52580"
"In post","2021","40-49","Internal Audit","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Outside London","SEO/HEO","90","85","39890","40120"
"In post","2021","40-49","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Internal Audit","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","International Trade","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","International Trade","London","EO","15","10","28130","28380"
"In post","2021","40-49","International Trade","London","G6/G7","80","75","56790","56530"
"In post","2021","40-49","International Trade","London","SCS level","25","25","81480","75570"
"In post","2021","40-49","International Trade","London","SEO/HEO","45","45","36670","38540"
"In post","2021","40-49","International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","International Trade","Outside London","G6/G7","15","10","52970","51970"
"In post","2021","40-49","International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","International Trade","Outside London","SEO/HEO","30","30","33630","31810"
"In post","2021","40-49","International Trade","Overseas","G6/G7","25","25","58900","56760"
"In post","2021","40-49","International Trade","Overseas","SCS level","10","10","89800","91810"
"In post","2021","40-49","International Trade","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","London","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","London","EO","25","25","29820","29850"
"In post","2021","40-49","Knowledge and Information Management","London","G6/G7","65","65","59510","57430"
"In post","2021","40-49","Knowledge and Information Management","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","London","SEO/HEO","95","95","37830","37640"
"In post","2021","40-49","Knowledge and Information Management","Outside London","AA/AO","40","40","21380","21020"
"In post","2021","40-49","Knowledge and Information Management","Outside London","EO","70","65","26470","26670"
"In post","2021","40-49","Knowledge and Information Management","Outside London","G6/G7","90","85","54810","54020"
"In post","2021","40-49","Knowledge and Information Management","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Outside London","SEO/HEO","185","170","36840","37320"
"In post","2021","40-49","Knowledge and Information Management","Outside London","Unknown","20","20","52020","50420"
"In post","2021","40-49","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","London","EO","95","90","30440","29570"
"In post","2021","40-49","Legal","London","G6/G7","965","870","62070","63730"
"In post","2021","40-49","Legal","London","SCS level","110","105","85300","80480"
"In post","2021","40-49","Legal","London","SEO/HEO","175","170","39550","37930"
"In post","2021","40-49","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Outside London","AA/AO","60","55","21000","21440"
"In post","2021","40-49","Legal","Outside London","EO","275","265","26230","25560"
"In post","2021","40-49","Legal","Outside London","G6/G7","990","910","57220","55610"
"In post","2021","40-49","Legal","Outside London","SCS level","40","40","85840","82870"
"In post","2021","40-49","Legal","Outside London","SEO/HEO","770","715","37960","37240"
"In post","2021","40-49","Legal","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","London","AA/AO","5","5","[c]","[c]"
"In post","2021","40-49","Medicine","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","London","G6/G7","35","35","64560","67000"
"In post","2021","40-49","Medicine","London","SCS level","60","50","91770","91020"
"In post","2021","40-49","Medicine","London","SEO/HEO","10","10","43570","44600"
"In post","2021","40-49","Medicine","Outside London","AA/AO","80","75","21700","21940"
"In post","2021","40-49","Medicine","Outside London","EO","65","60","31140","30620"
"In post","2021","40-49","Medicine","Outside London","G6/G7","185","160","76560","81630"
"In post","2021","40-49","Medicine","Outside London","SCS level","55","50","98330","96990"
"In post","2021","40-49","Medicine","Outside London","SEO/HEO","200","175","39600","37890"
"In post","2021","40-49","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","40-49","Medicine","Overseas","SEO/HEO","10","10","[c]","[c]"
"In post","2021","40-49","Medicine","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Medicine","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Operational Delivery","London","AA/AO","1515","1390","26270","25460"
"In post","2021","40-49","Operational Delivery","London","EO","1510","1405","29920","29080"
"In post","2021","40-49","Operational Delivery","London","G6/G7","720","695","60700","58460"
"In post","2021","40-49","Operational Delivery","London","SCS level","120","120","92430","84640"
"In post","2021","40-49","Operational Delivery","London","SEO/HEO","1595","1530","39320","37910"
"In post","2021","40-49","Operational Delivery","London","Unknown","305","290","35660","36580"
"In post","2021","40-49","Operational Delivery","Outside London","AA/AO","14040","12575","22730","21440"
"In post","2021","40-49","Operational Delivery","Outside London","EO","8735","8195","27290","26330"
"In post","2021","40-49","Operational Delivery","Outside London","G6/G7","1410","1380","56780","52690"
"In post","2021","40-49","Operational Delivery","Outside London","SCS level","105","105","88310","80990"
"In post","2021","40-49","Operational Delivery","Outside London","SEO/HEO","6705","6460","36540","35600"
"In post","2021","40-49","Operational Delivery","Outside London","Unknown","2710","2470","31690","32690"
"In post","2021","40-49","Operational Delivery","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Operational Delivery","Overseas","EO","35","35","28040","27370"
"In post","2021","40-49","Operational Delivery","Overseas","G6/G7","10","10","[c]","[c]"
"In post","2021","40-49","Operational Delivery","Overseas","SEO/HEO","50","50","59100","61330"
"In post","2021","40-49","Operational Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Operational Delivery","Unknown","AA/AO","[c]","[c]","[c]","[c]"
