"Status","Year","Organisation","Parent_department","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","SEO/HEO","35","30","38800","35110"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","125","125","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","40","35","20330","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","EO","320","300","24690","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","30","30","56720","51710"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","465","425","34370","34500"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","EO","55","55","30950","31460"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","G6/G7","20","20","57530","55550"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","SEO/HEO","25","25","38530","36620"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","805","750","21860","21050"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","EO","715","675","26220","25520"
