"Status","Year","Ethnicity","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","London","Female","405","370","44160","50500"
"In post","2021","Asian","Attorney General's Departments","London","Male","185","180","44730","40000"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","Female","215","195","38290","34480"
"In post","2021","Asian","Attorney General's Departments","Outside London","Male","95","90","40020","45080"
"In post","2021","Asian","Attorney General's Departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","Female","250","240","45780","40600"
"In post","2021","Asian","Cabinet Office","London","Male","170","165","49680","43890"
"In post","2021","Asian","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Female","25","25","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Male","25","25","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","London","Female","60","55","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","London","Male","45","45","50080","44660"
"In post","2021","Asian","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Female","290","280","43190","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Male","205","205","43200","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Female","120","110","30560","30360"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Male","100","100","30910","26820"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Female","65","65","46260","51730"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Male","50","50","48210","42060"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","London","Female","175","165","43760","40780"
"In post","2021","Asian","Department for Education","London","Male","95","95","45230","40940"
"In post","2021","Asian","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Outside London","Female","235","225","36120","33190"
"In post","2021","Asian","Department for Education","Outside London","Male","205","205","37610","36500"
"In post","2021","Asian","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","Female","105","105","39140","33280"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","Male","80","80","39470","34880"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","Female","100","90","30860","28070"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","Male","70","65","34660","32890"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","London","Female","90","90","41800","38160"
"In post","2021","Asian","Department for International Trade","London","Male","95","95","43260","38540"
"In post","2021","Asian","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","Male","5","5","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","London","Female","150","145","43080","42230"
"In post","2021","Asian","Department for Transport","London","Male","155","155","44440","37650"
"In post","2021","Asian","Department for Transport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Outside London","Female","75","65","29890","24590"
"In post","2021","Asian","Department for Transport","Outside London","Male","145","145","37460","30730"
"In post","2021","Asian","Department for Transport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","London","Female","1605","1400","30960","31060"
"In post","2021","Asian","Department for Work and Pensions","London","Male","845","825","31380","31060"
"In post","2021","Asian","Department for Work and Pensions","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Outside London","Female","2715","2305","25850","27570"
"In post","2021","Asian","Department for Work and Pensions","Outside London","Male","2090","2020","26860","27570"
"In post","2021","Asian","Department for Work and Pensions","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","Female","90","75","27200","25110"
"In post","2021","Asian","Department for Work and Pensions","Unknown","Male","45","40","29090","27570"
"In post","2021","Asian","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","London","Female","510","480","41190","33120"
"In post","2021","Asian","Department of Health and Social Care","London","Male","265","260","45850","40470"
"In post","2021","Asian","Department of Health and Social Care","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Outside London","Female","255","235","41100","29270"
"In post","2021","Asian","Department of Health and Social Care","Outside London","Male","120","120","40840","33870"
"In post","2021","Asian","Department of Health and Social Care","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","Female","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","Male","20","20","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","Female","190","180","41510","36460"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","Male","125","125","44300","37560"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","Female","35","35","35520","31390"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","Male","40","40","38970","32600"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","Female","40","40","42150","34670"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","Male","50","50","51850","53660"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","Female","25","20","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","Male","15","15","[c]","[c]"
"In post","2021","Asian","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Outside London","Female","90","80","28420","27130"
"In post","2021","Asian","HM Land Registry","Outside London","Male","80","75","30300","27130"
"In post","2021","Asian","HM Land Registry","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","London","Female","740","680","36520","34950"
"In post","2021","Asian","HM Revenue and Customs","London","Male","590","570","39190","36160"
"In post","2021","Asian","HM Revenue and Customs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Outside London","Female","1335","1190","27290","25560"
"In post","2021","Asian","HM Revenue and Customs","Outside London","Male","1720","1665","28570","25560"
"In post","2021","Asian","HM Revenue and Customs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","London","Female","140","140","44540","41780"
"In post","2021","Asian","HM Treasury","London","Male","120","120","45720","38950"
"In post","2021","Asian","HM Treasury","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","Female","10","5","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Asian","HM Treasury","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","London","Female","1855","1685","33490","29080"
"In post","2021","Asian","Home Office","London","Male","1250","1215","34310","29080"
"In post","2021","Asian","Home Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Outside London","Female","730","635","25150","24890"
"In post","2021","Asian","Home Office","Outside London","Male","625","590","25860","24890"
"In post","2021","Asian","Home Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","Female","15","15","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","Male","20","20","[c]","[c]"
"In post","2021","Asian","Home Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","London","Female","165","160","35610","33870"
"In post","2021","Asian","Ministry of Defence","London","Male","185","180","33760","30750"
"In post","2021","Asian","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Outside London","Female","390","365","32500","28180"
"In post","2021","Asian","Ministry of Defence","Outside London","Male","575","570","35230","33250"
"In post","2021","Asian","Ministry of Defence","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","Male","10","10","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","Female","105","100","42720","39600"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","Male","65","65","42900","38230"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","Female","30","30","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","Male","30","25","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","London","Female","915","850","31600","27230"
"In post","2021","Asian","Ministry of Justice","London","Male","640","625","33840","30850"
"In post","2021","Asian","Ministry of Justice","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Outside London","Female","1330","1180","25220","21550"
"In post","2021","Asian","Ministry of Justice","Outside London","Male","1060","1005","26920","23180"
"In post","2021","Asian","Ministry of Justice","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","London","Female","85","80","37520","36200"
"In post","2021","Asian","National Crime Agency","London","Male","45","45","40470","40170"
"In post","2021","Asian","National Crime Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Outside London","Female","55","50","31390","31560"
"In post","2021","Asian","National Crime Agency","Outside London","Male","50","50","33590","36220"
"In post","2021","Asian","National Crime Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","London","Female","30","30","47040","42850"
"In post","2021","Asian","Office for Standards in Education","London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education","Outside London","Female","40","35","33900","28940"
"In post","2021","Asian","Office for Standards in Education","Outside London","Male","15","15","[c]","[c]"
