"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Female","Heterosexual / straight","495","445","23120","21780"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Female","LGBO","30","30","25780","26210"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Female","Undeclared","70","60","23320","22440"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Female","Unknown","115","100","23460","22650"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Male","Heterosexual / straight","380","375","25830","24670"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Male","Undeclared","40","40","25000","22430"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Male","Unknown","115","115","26030","24890"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Heterosexual / straight","675","620","28500","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","LGBO","30","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Undeclared","70","65","29550","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Female","Unknown","165","145","29280","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Heterosexual / straight","475","450","29460","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Undeclared","75","70","29430","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Male","Unknown","90","90","29560","29290"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Female","Heterosexual / straight","110","105","60890","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Female","Unknown","40","35","57080","54400"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Male","Heterosexual / straight","105","105","60490","59730"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
