"Status","Year","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","AO","Heterosexual / straight","80","70","21670","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","AO","Unknown","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","Heterosexual / straight","60","55","26860","26220"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G7","Heterosexual / straight","125","115","53020","51940"
"In post","2021","Attorney General's Departments","East Midlands (England)","G7","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","G7","Unknown","40","35","54830","55610"
"In post","2021","Attorney General's Departments","East Midlands (England)","HEO","Heterosexual / straight","35","35","34090","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","HEO","Unknown","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","AO","Heterosexual / straight","85","75","22490","23500"
"In post","2021","Attorney General's Departments","East of England","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","AO","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","EO","Heterosexual / straight","75","65","28520","28430"
"In post","2021","Attorney General's Departments","East of England","EO","LGBO","[c]","[c]","[c]","[c]"
