"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA/AO","45","40","21130","21010"
"In post","2021","16-19","Asian","EO","20","20","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Black","EO","5","5","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA/AO","15","15","[c]","[c]"
"In post","2021","16-19","Mixed","EO","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","365","345","20620","20140"
"In post","2021","16-19","Unknown","EO","85","85","21380","20900"
"In post","2021","16-19","Unknown","Unknown","50","50","18300","16780"
"In post","2021","16-19","White","AA/AO","505","490","20840","21010"
"In post","2021","16-19","White","EO","180","180","23170","24300"
"In post","2021","16-19","White","SEO/HEO","5","5","[c]","[c]"
