"Status","Year","Profession_of_post","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","80","80","38420","36800"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","70","70","40000","38550"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Commercial","Devon","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Female","Unknown","95","90","41210","38300"
"In post","2021","Commercial","Devon","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Devon","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Male","Unknown","90","90","44710","46100"
"In post","2021","Commercial","Devon","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Female","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Female","Heterosexual / straight","90","85","36710","34850"
"In post","2021","Commercial","East Anglia","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","East Anglia","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Commercial","East Anglia","Male","Heterosexual / straight","65","65","40890","36970"
"In post","2021","Commercial","East Anglia","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Female","Heterosexual / straight","55","55","35990","31850"
"In post","2021","Commercial","East Wales","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","East Wales","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","East Wales","Male","Heterosexual / straight","55","55","38320","36030"
"In post","2021","Commercial","East Wales","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","East Wales","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","East Wales","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Female","Heterosexual / straight","15","15","[c]","[c]"
