"Status","Year","Disability","Region_ITL1","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","Female","1645","1460","28230","27570"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","Male","1035","985","28820","27570"
"In post","2021","Declared disabled","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","Outside London","Female","1560","1395","29010","27570"
"In post","2021","Declared disabled","East of England","Outside London","Male","1015","965","31230","29290"
"In post","2021","Declared disabled","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","London","Female","5385","5035","39410","33620"
"In post","2021","Declared disabled","London","London","Male","3815","3710","42100","36300"
"In post","2021","Declared disabled","London","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Outside London","Female","2120","1795","26730","25560"
"In post","2021","Declared disabled","North East (England)","Outside London","Male","1300","1205","27370","25560"
"In post","2021","Declared disabled","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North West (England)","Outside London","Female","4340","3775","27750","26730"
"In post","2021","Declared disabled","North West (England)","Outside London","Male","2670","2525","29070","27570"
"In post","2021","Declared disabled","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland","Outside London","Female","170","155","28530","25560"
"In post","2021","Declared disabled","Northern Ireland","Outside London","Male","155","145","26090","23250"
"In post","2021","Declared disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Overseas","Female","85","85","47880","51500"
"In post","2021","Declared disabled","Overseas","Overseas","Male","140","140","48330","42800"
"In post","2021","Declared disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland","Outside London","Female","2615","2310","29680","27570"
"In post","2021","Declared disabled","Scotland","Outside London","Male","1850","1750","31430","27570"
"In post","2021","Declared disabled","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South East (England)","Outside London","Female","2565","2290","29490","27570"
"In post","2021","Declared disabled","South East (England)","Outside London","Male","2005","1910","31170","28980"
"In post","2021","Declared disabled","South East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","South West (England)","Outside London","Female","2530","2260","30590","27570"
"In post","2021","Declared disabled","South West (England)","Outside London","Male","2230","2140","34150","31600"
"In post","2021","Declared disabled","South West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Female","120","110","30860","27570"
"In post","2021","Declared disabled","Unknown","Unknown","Male","75","70","32220","27570"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales","Outside London","Female","2250","1940","27690","26120"
"In post","2021","Declared disabled","Wales","Outside London","Male","1295","1220","30370","27570"
"In post","2021","Declared disabled","Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","Female","2270","2010","28380","27570"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","Male","1330","1265","29790","27570"
"In post","2021","Declared disabled","West Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","Female","2440","2135","29560","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","Male","1550","1455","30820","27570"
"In post","2021","Declared disabled","Yorkshire and The Humber","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","Female","8155","7260","29070","27150"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","Male","6100","5890","31440","27570"
"In post","2021","Declared non-disabled","East Midlands (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","East of England","Outside London","Female","8520","7640","29510","27570"
"In post","2021","Declared non-disabled","East of England","Outside London","Male","6990","6730","32000","29290"
"In post","2021","Declared non-disabled","East of England","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","London","Female","36600","34410","42290","36160"
"In post","2021","Declared non-disabled","London","London","Male","30680","30095","45510","39960"
"In post","2021","Declared non-disabled","London","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","North East (England)","Outside London","Female","12285","10560","27740","25560"
"In post","2021","Declared non-disabled","North East (England)","Outside London","Male","8040","7695","30240","27570"
"In post","2021","Declared non-disabled","North East (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","North West (England)","Outside London","Female","23680","21060","28830","26930"
"In post","2021","Declared non-disabled","North West (England)","Outside London","Male","16590","16015","30930","27570"
"In post","2021","Declared non-disabled","North West (England)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","Female","1090","985","29000","25560"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","Male","1230","1195","28350","25490"
"In post","2021","Declared non-disabled","Northern Ireland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Overseas","Female","975","970","48630","47000"
"In post","2021","Declared non-disabled","Overseas","Overseas","Male","1595","1590","49920","48120"
"In post","2021","Declared non-disabled","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland","Outside London","Female","15260","13680","31420","27570"
"In post","2021","Declared non-disabled","Scotland","Outside London","Male","11710","11340","33940","28130"
"In post","2021","Declared non-disabled","Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
