"Status","Year","Function_of_post","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","London","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","480","455","33720","29750"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","London","90","85","63040","59890"
"In post","2021","Analysis","Competition and Markets Authority","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","London","30","30","53750","46940"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","London","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","Outside London","15","15","38390","32050"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","London","15","10","78480","61540"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","Outside London","20","20","39640","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","Outside London","255","245","41950","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","Outside London","155","150","37330","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","London","195","195","40840","34400"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","London","15","15","50070","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","London","15","15","51810","57620"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","London","20","20","49380","53380"
