"Status","Year","Ethnicity","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","AO","Female","125","110","22830","23520"
"In post","2021","Asian","Attorney General's Departments","AO","Male","45","45","22900","23520"
"In post","2021","Asian","Attorney General's Departments","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","EO","Female","125","115","27960","27580"
"In post","2021","Asian","Attorney General's Departments","EO","Male","45","45","27960","27710"
"In post","2021","Asian","Attorney General's Departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6","Female","45","40","67480","65710"
"In post","2021","Asian","Attorney General's Departments","G6","Male","30","30","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","G7","Female","240","215","54650","51730"
"In post","2021","Asian","Attorney General's Departments","G7","Male","100","100","54660","52310"
"In post","2021","Asian","Attorney General's Departments","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","HEO","Female","70","65","37270","38000"
"In post","2021","Asian","Attorney General's Departments","HEO","Male","40","40","34590","33310"
"In post","2021","Asian","Attorney General's Departments","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Female","10","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Female","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Male","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","Female","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","Female","55","55","27660","27500"
"In post","2021","Asian","Cabinet Office","EO","Male","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6","Female","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6","Male","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","G7","Female","75","75","55820","54700"
"In post","2021","Asian","Cabinet Office","G7","Male","60","60","56340","55000"
"In post","2021","Asian","Cabinet Office","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","HEO","Female","65","65","34880","34550"
"In post","2021","Asian","Cabinet Office","HEO","Male","45","45","34420","34550"
"In post","2021","Asian","Cabinet Office","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","SEO","Female","35","30","41000","40600"
"In post","2021","Asian","Cabinet Office","SEO","Male","30","30","40930","40600"
"In post","2021","Asian","Cabinet Office","SEO","Unknown","[c]","[c]","[c]","[c]"
