"Status","Year","Age","Function_of_post","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Defence Science and Technology Laboratory","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Animal and Plant Health Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Crown Commercial Service","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care (excl. agencies)","Male","[c]","[c]","[c]","[c]"
