"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","AO","165","150","22580","21950"
"In post","2021","Declared disabled","Attorney General's Departments","EO","EO","180","165","28360","28430"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","G6","85","75","70940","69300"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","G7","345","320","56810","55610"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","HEO","95","95","35070","34480"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","SEO","30","30","40710","39800"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","AO","75","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office","EO","EO","115","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","G6","50","50","67140","64670"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","G7","185","180","55660","54700"
"In post","2021","Declared disabled","Cabinet Office","SCS level","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","HEO","165","160","34330","34550"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","SEO","70","65","40660","40600"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AA","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AO","115","105","21840","20880"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","EO","165","160","26810","26380"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G6","70","65","67380","65910"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G7","180","175","54900","53600"
