"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Heterosexual / straight","40","40","36490","33310"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Heterosexual / straight","490","465","44070","43920"
"In post","2021","Asian","Attorney General's Departments","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","70","60","46920","51120"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Heterosexual / straight","35","30","38360","38760"
"In post","2021","Asian","Attorney General's Departments","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
