"Status","Year","Function_of_post","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wakefield","Outside London","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Westminster","London","25","25","41860","35070"
"In post","2021","Analysis","Chancellor's other departments","Camden and City of London","London","165","155","69370","65470"
"In post","2021","Analysis","Chancellor's other departments","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Westminster","London","10","10","38090","33290"
"In post","2021","Analysis","Charity Commission","Sefton","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Westminster","London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Tower Hamlets","London","130","125","60780","56360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","Outside London","15","15","49150","55600"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","London","295","290","43630","37120"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Westminster","London","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","Bristol, City of","Outside London","20","15","41410","41990"
"In post","2021","Analysis","Department for Education","Coventry","Outside London","10","10","41650","40130"
"In post","2021","Analysis","Department for Education","Darlington","Outside London","30","30","43530","42580"
"In post","2021","Analysis","Department for Education","Leeds","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Manchester","Outside London","40","40","37840","41990"
"In post","2021","Analysis","Department for Education","Nottingham","Outside London","10","10","42290","42500"
"In post","2021","Analysis","Department for Education","Sheffield","Outside London","120","115","44020","42420"
"In post","2021","Analysis","Department for Education","Westminster","London","180","170","46760","45540"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","Outside London","115","110","33040","29270"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","Outside London","10","10","29950","30040"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","Outside London","350","330","34300","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Westminster","London","20","20","45530","40060"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","York","Outside London","50","50","34510","30230"
"In post","2021","Analysis","Department for International Trade","Berkshire","Outside London","15","15","49050","51970"
"In post","2021","Analysis","Department for International Trade","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Westminster","London","230","230","42740","38540"
"In post","2021","Analysis","Department for Transport","Birmingham","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Bristol, City of","Outside London","20","15","33530","31380"
"In post","2021","Analysis","Department for Transport","City of Edinburgh","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Devon CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","East Sussex CC","Outside London","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Flintshire and Wrexham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Leeds","Outside London","10","10","25320","21590"
"In post","2021","Analysis","Department for Transport","Medway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Merton, Kingston upon Thames and Sutton","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","North Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Nottingham","Outside London","10","10","32350","32830"
"In post","2021","Analysis","Department for Transport","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Southampton","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Swansea","Outside London","30","30","27950","26780"
