"Status","Year","Function_of_post","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Merseyside","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Riding of Yorkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Sussex CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Flintshire and Wrexham","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Glasgow City","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North East","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester North West","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester South West","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Hackney and Newham","London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leeds","Outside London","Female","75","70","39870","38280"
"In post","2021","Analysis","Leeds","Outside London","Male","65","65","43500","48350"
"In post","2021","Analysis","Leicester","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicester","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire CC and Rutland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Liverpool","Outside London","Female","40","35","40380","38630"
"In post","2021","Analysis","Liverpool","Outside London","Male","35","35","39440","38630"
"In post","2021","Analysis","Manchester","Outside London","Female","95","90","38260","33190"
"In post","2021","Analysis","Manchester","Outside London","Male","125","125","38140","36640"
"In post","2021","Analysis","Medway","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Medway","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merton, Kingston upon Thames and Sutton","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Mid Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Monmouthshire and Newport","Outside London","Female","540","500","35080","32630"
"In post","2021","Analysis","Monmouthshire and Newport","Outside London","Male","485","475","37950","36030"
"In post","2021","Analysis","Monmouthshire and Newport","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","North Northamptonshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Northamptonshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Nottinghamshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
