"Status","Year","Ethnicity","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","EO","5","5","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Aberdeen City and Aberdeenshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","AA/AO","25","25","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","EO","5","5","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Antrim and Newtownabbey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ards and North Down","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Armagh City, Banbridge and Craigavon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","EO","110","100","30840","31060"
"In post","2021","Asian","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Barking & Dagenham and Havering","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Barnet","AA/AO","85","75","23930","23530"
"In post","2021","Asian","Barnet","EO","120","110","30230","31060"
"In post","2021","Asian","Barnet","G6/G7","55","55","59810","57600"
"In post","2021","Asian","Barnet","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Barnet","SEO/HEO","130","125","38730","39080"
"In post","2021","Asian","Barnet","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","EO","10","10","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","75","70","24070","24890"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","35","35","58280","55550"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","200","195","35940","35290"
"In post","2021","Asian","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","35","35","37790","33230"
"In post","2021","Asian","Bedford","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Bedford","EO","40","35","26900","27570"
"In post","2021","Asian","Bedford","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedford","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Bedford","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Belfast","AA/AO","[c]","[c]","[c]","[c]"
