"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","AA/AO","170","155","22520","21950"
"In post","2021","Declared disabled","Attorney General's Departments","EO","180","165","28360","28430"
"In post","2021","Declared disabled","Attorney General's Departments","G6/G7","430","395","59530","56800"
"In post","2021","Declared disabled","Attorney General's Departments","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","SEO/HEO","130","125","36470","35020"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","AA/AO","75","70","22090","20920"
"In post","2021","Declared disabled","Cabinet Office","EO","115","110","27190","27500"
"In post","2021","Declared disabled","Cabinet Office","G6/G7","235","230","58140","56340"
"In post","2021","Declared disabled","Cabinet Office","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office","SEO/HEO","235","230","36210","35590"
"In post","2021","Declared disabled","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","G6/G7","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","SEO/HEO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","G6/G7","20","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","125","115","21630","20880"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","165","160","26810","26380"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","250","240","58390","56430"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","465","450","37120","35980"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","45","40","57340","54730"
