"Status","Year","Ethnicity","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","Female","Heterosexual / straight","6590","6135","36810","31880"
"In post","2021","Asian","London","Female","LGBO","140","130","35720","31060"
"In post","2021","Asian","London","Female","Undeclared","560","500","33280","30330"
"In post","2021","Asian","London","Female","Unknown","855","740","35130","31060"
"In post","2021","Asian","London","Male","Heterosexual / straight","4570","4485","37860","32560"
"In post","2021","Asian","London","Male","LGBO","145","140","41200","36160"
"In post","2021","Asian","London","Male","Undeclared","270","260","36260","31420"
"In post","2021","Asian","London","Male","Unknown","430","420","39930","35180"
"In post","2021","Asian","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","Female","Heterosexual / straight","6295","5640","28190","26160"
"In post","2021","Asian","Outside London","Female","LGBO","130","110","26520","24890"
"In post","2021","Asian","Outside London","Female","Undeclared","480","410","26690","24880"
"In post","2021","Asian","Outside London","Female","Unknown","1095","900","27510","25560"
"In post","2021","Asian","Outside London","Male","Heterosexual / straight","6015","5825","29620","27570"
"In post","2021","Asian","Outside London","Male","LGBO","160","150","28630","25560"
"In post","2021","Asian","Outside London","Male","Undeclared","325","310","28070","26000"
"In post","2021","Asian","Outside London","Male","Unknown","780","740","28850","27570"
"In post","2021","Asian","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Female","Heterosexual / straight","55","55","42590","34670"
"In post","2021","Asian","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Male","Heterosexual / straight","75","75","48280","42350"
"In post","2021","Asian","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Heterosexual / straight","80","70","29200","27570"
"In post","2021","Asian","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Female","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Heterosexual / straight","50","45","32060","28300"
"In post","2021","Asian","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Female","Heterosexual / straight","5555","5350","34240","31060"
"In post","2021","Black","London","Female","LGBO","125","120","35500","31060"
"In post","2021","Black","London","Female","Undeclared","380","355","33540","31060"
"In post","2021","Black","London","Female","Unknown","685","625","33090","31060"
"In post","2021","Black","London","Male","Heterosexual / straight","2640","2605","35480","31800"
"In post","2021","Black","London","Male","LGBO","75","70","40690","34630"
"In post","2021","Black","London","Male","Undeclared","150","150","34750","31060"
"In post","2021","Black","London","Male","Unknown","355","345","34790","31880"
"In post","2021","Black","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","Female","Heterosexual / straight","2700","2520","28810","27570"
"In post","2021","Black","Outside London","Female","LGBO","60","55","25860","25560"
"In post","2021","Black","Outside London","Female","Undeclared","160","145","27580","27570"
"In post","2021","Black","Outside London","Female","Unknown","305","270","28580","27020"
"In post","2021","Black","Outside London","Male","Heterosexual / straight","1940","1900","30550","27570"
"In post","2021","Black","Outside London","Male","LGBO","70","70","30880","27570"
"In post","2021","Black","Outside London","Male","Undeclared","85","80","30110","27570"
