"Status","Year","Function_of_post","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","Wakefield","10","10","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","Westminster","25","25","41860","35070"
"In post","2021","Analysis","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","Camden and City of London","165","155","69370","65470"
"In post","2021","Analysis","Chancellor's other departments","London","Westminster","10","10","38090","33290"
"In post","2021","Analysis","Chancellor's other departments","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Westminster","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","Sefton","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Tower Hamlets","130","125","60780","56360"
"In post","2021","Analysis","Competition and Markets Authority","Scotland","City of Edinburgh","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","London","Westminster","295","290","43630","37120"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","North West (England)","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","South West (England)","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Wales","Monmouthshire and Newport","15","15","49150","55600"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands (England)","Birmingham","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Westminster","140","140","52490","49720"
"In post","2021","Analysis","Department for Education","East Midlands (England)","Nottingham","10","10","42290","42500"
"In post","2021","Analysis","Department for Education","London","Westminster","180","170","46760","45540"
"In post","2021","Analysis","Department for Education","North East (England)","Darlington","30","30","43530","42580"
"In post","2021","Analysis","Department for Education","North West (England)","Manchester","40","40","37840","41990"
"In post","2021","Analysis","Department for Education","South West (England)","Bristol, City of","20","15","41410","41990"
"In post","2021","Analysis","Department for Education","West Midlands (England)","Coventry","10","10","41650","40130"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Yorkshire and The Humber","Sheffield","120","115","44020","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","East of England","Suffolk","350","330","34300","30220"
