"Status","Year","Organisation","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","Female","75","65","30250","29190"
"In post","2021","Accountant in Bankruptcy","Scottish Government","Outside London","Male","40","40","34470","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Female","115","105","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","London","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","Female","510","465","30300","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Outside London","Male","345","330","31810","30950"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Female","50","50","36390","31800"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","London","Male","55","55","37660","31800"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","Female","1555","1440","29340","25380"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Outside London","Male","1015","985","31990","28310"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","Female","30","25","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","London","Male","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","Female","3450","3375","47090","40600"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","London","Male","3050","3035","52820","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","Female","1265","1200","39090","33000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Outside London","Male","1085","1070","42680","33410"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Female","325","320","36050","32000"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","Male","275","275","36480","32000"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","Female","290","265","31560","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Outside London","Male","325","315","36330","30660"
"In post","2021","Charity Commission","Charity Commission","London","Female","50","45","41680","37910"
"In post","2021","Charity Commission","Charity Commission","London","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Outside London","Female","205","185","32600","29160"
"In post","2021","Charity Commission","Charity Commission","Outside London","Male","160","155","33960","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","Female","600","525","29130","24500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Outside London","Male","490","480","32830","30660"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","Female","400","380","58800","56000"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","London","Male","385","380","62910","59170"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","Female","30","30","55330","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","Female","160","145","26500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Outside London","Male","140","140","25680","22860"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","Female","30","30","49280","45650"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","London","Male","40","40","51190","49300"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","Female","375","360","35570","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Outside London","Male","345","340","37700","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","Female","1460","1330","34880","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Outside London","Male","565","545","37880","32930"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","Female","1100","1015","43330","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","London","Male","590","580","46730","40800"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","Female","3380","3040","38490","32370"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Outside London","Male","1670","1625","43880","48080"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","Female","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","London","Male","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","London","Female","40","35","50070","41720"
"In post","2021","Debt Management Office","HM Treasury","London","Male","75","75","63150","58810"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","Female","70","70","28060","25200"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Outside London","Male","365","350","28480","28750"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","Female","40","40","28640","23700"
"In post","2021","Defence Equipment and Support","Ministry of Defence","London","Male","155","150","25170","21760"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Outside London","Female","3600","3365","34140","31980"
