"Status","Year","Age","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Digital, Data and Technology","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Economics","Inner London - West","15","15","26930","27680"
"In post","2021","16-19","Analysis","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Delivery","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Operational Research","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Statistics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Unknown","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Operational Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Operational Delivery","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tax","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Operational Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Operational Delivery","East Wales","[c]","[c]","[c]","[c]"
