"Status","Year","Organisation","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","80","70","32700","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Unknown","30","25","27060","22230"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Heterosexual / straight","40","35","33820","32650"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Undeclared","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Unknown","40","40","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","Heterosexual / straight","30","25","35170","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Heterosexual / straight","50","45","32330","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Undeclared","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Unknown","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Heterosexual / straight","40","35","34480","33370"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Heterosexual / straight","85","75","31330","31140"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","LGBO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Undeclared","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Unknown","35","35","26470","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","Heterosexual / straight","130","125","42740","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","LGBO","5","5","[c]","[c]"
