"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Female","95","85","23480","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Male","60","60","23180","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Female","85","80","57580","55080"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Male","125","120","59180","55960"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Female","335","310","35360","34500"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Male","310","305","36170","35300"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Female","60","60","36220","32710"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Male","75","75","40370","38150"
"In post","2021","Commercial","Bedford","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO/HEO","Female","10","5","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","EO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","EO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Birmingham","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Birmingham","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Birmingham","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Birmingham","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","EO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","SEO/HEO","Female","35","35","36260","36780"
"In post","2021","Commercial","Bristol, City of","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","EO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","EO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","G6/G7","Female","[c]","[c]","[c]","[c]"
