"Status","Year","Function_of_post","Organisation","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Cornwall and Isles of Scilly","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","AO","10","10","21050","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","EO","30","25","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","G7","15","10","48590","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","HEO","35","35","29680","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","SEO","20","15","37570","36580"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","AO","25","25","21210","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","EO","55","50","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","G6","15","15","60770","57390"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","G7","55","50","48630","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","HEO","110","105","29760","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","SEO","90","85","37160","36580"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Dorset and Somerset","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Merseyside","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Eastern Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","G6","30","30","77070","76440"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","G7","45","45","57960","56360"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","HEO","25","25","34370","34570"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SCS level","10","10","109610","101590"
"In post","2021","Analysis","Competition and Markets Authority","Inner London - East","SEO","15","15","44590","43880"
"In post","2021","Analysis","Crown Prosecution Service","East Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Merseyside","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","North Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Northumberland and Tyne and Wear","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","G7","10","10","60540","60930"
"In post","2021","Analysis","Debt Management Office","Inner London - West","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Shropshire and Staffordshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Anglia","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","East Anglia","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","G7","30","30","48290","46090"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","35","35","28230","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","45","40","37640","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","G7","160","150","48970","46110"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","HEO","70","65","28500","28650"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","SEO","105","100","37350","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","EO","30","30","29180","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","G6","20","20","72630","69670"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","G7","55","50","58370","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","HEO","145","145","35830","34240"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","SEO","20","20","45720","45270"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","G6","15","15","70410","67140"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","G7","50","50","61340","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Derbyshire and Nottinghamshire","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","10","10","42430","41990"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","HEO","10","10","32830","33190"
"In post","2021","Analysis","Department for Education (excl. agencies)","Greater Manchester","SEO","15","15","42280","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","EO","15","10","31550","29500"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","G6","15","15","66860","65370"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","G7","45","40","55020","54160"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","HEO","45","45","36880","36980"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","SEO","55","50","45880","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","G7","35","35","51930","50630"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","HEO","30","25","32910","33190"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","South Yorkshire","SEO","40","35","42590","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","G7","10","10","50330","50630"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Tees Valley and Durham","SEO","10","10","41880","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Midlands","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","West Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","HEO","15","15","30970","30320"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","North Yorkshire","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Northumberland and Tyne and Wear","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Berkshire, Buckinghamshire and Oxfordshire","SCS level","[c]","[c]","[c]","[c]"
