"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","AO","60","55","24530","24900"
"In post","2021","Analysis","London","EO","EO","260","255","28790","28650"
"In post","2021","Analysis","London","G6/G7","G6","415","395","74820","71230"
"In post","2021","Analysis","London","G6/G7","G7","1025","985","57020","56750"
"In post","2021","Analysis","London","SCS level","SCS level","120","115","91600","82020"
"In post","2021","Analysis","London","SEO/HEO","HEO","1040","1025","34980","34310"
"In post","2021","Analysis","London","SEO/HEO","SEO","535","520","43540","42890"
"In post","2021","Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","AO","135","130","20380","21050"
"In post","2021","Analysis","Outside London","EO","EO","470","440","25160","24920"
"In post","2021","Analysis","Outside London","G6/G7","G6","155","150","63760","61990"
"In post","2021","Analysis","Outside London","G6/G7","G7","820","780","50800","49860"
"In post","2021","Analysis","Outside London","SCS level","SCS level","40","40","80620","74100"
"In post","2021","Analysis","Outside London","SEO/HEO","HEO","1115","1070","30720","29750"
"In post","2021","Analysis","Outside London","SEO/HEO","SEO","1015","965","38320","37320"
"In post","2021","Analysis","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","AO","95","90","24200","24400"
"In post","2021","Commercial","London","EO","EO","165","160","29020","29000"
"In post","2021","Commercial","London","G6/G7","G6","250","245","77710","75000"
"In post","2021","Commercial","London","G6/G7","G7","410","400","58070","56400"
"In post","2021","Commercial","London","SCS level","SCS level","360","350","98860","84350"
"In post","2021","Commercial","London","SEO/HEO","HEO","190","190","35030","34550"
"In post","2021","Commercial","London","SEO/HEO","SEO","400","395","44330","43500"
"In post","2021","Commercial","London","Unknown","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Outside London","AA/AO","AA","35","35","21720","20350"
"In post","2021","Commercial","Outside London","AA/AO","AO","385","360","21630","21130"
"In post","2021","Commercial","Outside London","EO","EO","690","655","26270","26670"
"In post","2021","Commercial","Outside London","G6/G7","G6","340","335","71610","67390"
"In post","2021","Commercial","Outside London","G6/G7","G7","725","710","52930","51560"
"In post","2021","Commercial","Outside London","SCS level","SCS level","220","220","83490","72130"
"In post","2021","Commercial","Outside London","SEO/HEO","HEO","1035","995","32360","33000"
"In post","2021","Commercial","Outside London","SEO/HEO","SEO","1375","1335","41220","40580"
"In post","2021","Commercial","Outside London","Unknown","Unknown","225","220","40550","37560"
"In post","2021","Commercial","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO/HEO","HEO","10","10","37810","36460"
"In post","2021","Commercial","Overseas","SEO/HEO","SEO","15","15","46760","42820"
"In post","2021","Commercial","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AA/AO","AO","75","70","24380","24400"
"In post","2021","Communications","London","EO","EO","395","385","26290","27350"
"In post","2021","Communications","London","G6/G7","G6","190","185","69050","69230"
"In post","2021","Communications","London","G6/G7","G7","515","495","56080","54760"
"In post","2021","Communications","London","SCS level","SCS level","115","115","90370","83110"
"In post","2021","Communications","London","SEO/HEO","HEO","590","585","35010","34640"
"In post","2021","Communications","London","SEO/HEO","SEO","565","555","42830","42470"
"In post","2021","Communications","Outside London","AA/AO","AA","30","25","19730","20070"
"In post","2021","Communications","Outside London","AA/AO","AO","400","350","21020","21050"
"In post","2021","Communications","Outside London","EO","EO","2805","2695","25710","25560"
"In post","2021","Communications","Outside London","G6/G7","G6","95","90","63980","64670"
"In post","2021","Communications","Outside London","G6/G7","G7","265","260","51760","52580"
"In post","2021","Communications","Outside London","SCS level","SCS level","20","20","78170","76440"
"In post","2021","Communications","Outside London","SEO/HEO","HEO","1455","1415","31850","31810"
"In post","2021","Communications","Outside London","SEO/HEO","SEO","680","660","38890","38630"
"In post","2021","Communications","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AA/AO","AO","135","125","25040","25630"
"In post","2021","Counter Fraud","London","EO","EO","735","705","30120","29570"
"In post","2021","Counter Fraud","London","G6/G7","G6","100","95","70700","71290"
"In post","2021","Counter Fraud","London","G6/G7","G7","265","255","58340","59160"
"In post","2021","Counter Fraud","London","SCS level","SCS level","25","25","86710","79930"
"In post","2021","Counter Fraud","London","SEO/HEO","HEO","700","675","36360","36160"
"In post","2021","Counter Fraud","London","SEO/HEO","SEO","355","345","42420","41760"
"In post","2021","Counter Fraud","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","AA/AO","AO","715","615","20820","20640"
"In post","2021","Counter Fraud","Outside London","EO","EO","2675","2500","26120","25560"
"In post","2021","Counter Fraud","Outside London","G6/G7","G6","180","175","64260","64670"
"In post","2021","Counter Fraud","Outside London","G6/G7","G7","555","530","52350","52580"
"In post","2021","Counter Fraud","Outside London","SCS level","SCS level","15","15","80630","79280"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","HEO","2285","2155","32310","31810"
"In post","2021","Counter Fraud","Outside London","SEO/HEO","SEO","870","825","38960","38630"
"In post","2021","Counter Fraud","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","AA/AO","AO","385","340","24870","24670"
"In post","2021","Debt","London","EO","EO","125","115","30940","32310"
"In post","2021","Debt","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Debt","London","G6/G7","G7","10","10","56870","59160"
"In post","2021","Debt","London","SEO/HEO","HEO","20","20","37320","36540"
"In post","2021","Debt","London","SEO/HEO","SEO","15","10","44900","44610"
"In post","2021","Debt","Outside London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","AA/AO","AO","3030","2730","20450","20140"
"In post","2021","Debt","Outside London","EO","EO","830","755","26210","25560"
"In post","2021","Debt","Outside London","G6/G7","G6","10","10","[c]","[c]"
"In post","2021","Debt","Outside London","G6/G7","G7","25","25","49790","52580"
"In post","2021","Debt","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Outside London","SEO/HEO","HEO","160","150","32110","31810"
"In post","2021","Debt","Outside London","SEO/HEO","SEO","50","50","38310","38630"
"In post","2021","Digital, Data & Technology","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","AA/AO","AO","55","55","24640","24340"
