"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","10","10","41500","38180"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","280","275","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","80","80","43070","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North East (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North West (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South East (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Wales","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","60","55","37770","32680"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","30","25","24800","21950"
"In post","2021","Attorney General's Departments","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","65","60","42800","32570"
"In post","2021","Attorney General's Departments","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Yorkshire and The Humber","35","30","33770","30130"
"In post","2021","Attorney General's Departments","Human Resources","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","London","115","110","42000","35770"
"In post","2021","Attorney General's Departments","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","North West (England)","40","40","36930","30810"
"In post","2021","Attorney General's Departments","Human Resources","South East (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Wales","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","West Midlands (England)","10","10","37160","35230"
"In post","2021","Attorney General's Departments","Human Resources","Yorkshire and The Humber","30","30","41810","38180"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","London","15","15","43820","32650"
"In post","2021","Attorney General's Departments","Legal","East Midlands (England)","210","195","51100","51470"
"In post","2021","Attorney General's Departments","Legal","East of England","235","215","53510","54770"
"In post","2021","Attorney General's Departments","Legal","London","2725","2540","60120","61000"
"In post","2021","Attorney General's Departments","Legal","North East (England)","155","145","51930","54200"
"In post","2021","Attorney General's Departments","Legal","North West (England)","445","420","53040","54200"
"In post","2021","Attorney General's Departments","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","South East (England)","345","325","56190","56560"
"In post","2021","Attorney General's Departments","Legal","South West (England)","185","170","52840","54200"
"In post","2021","Attorney General's Departments","Legal","Wales","190","170","52480","53350"
"In post","2021","Attorney General's Departments","Legal","West Midlands (England)","280","260","53280","53350"
"In post","2021","Attorney General's Departments","Legal","Yorkshire and The Humber","475","435","55050","55610"
"In post","2021","Attorney General's Departments","Operational Delivery","East Midlands (England)","190","175","25840","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","East of England","230","205","27200","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","London","795","745","29530","27440"
"In post","2021","Attorney General's Departments","Operational Delivery","North East (England)","170","150","25580","23470"
"In post","2021","Attorney General's Departments","Operational Delivery","North West (England)","465","430","26750","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","South East (England)","330","305","27580","26970"
"In post","2021","Attorney General's Departments","Operational Delivery","South West (England)","125","120","26250","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Wales","150","145","27630","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","West Midlands (England)","255","240","25590","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Yorkshire and The Humber","345","315","26160","23470"
"In post","2021","Attorney General's Departments","Other","London","420","405","32540","27580"
"In post","2021","Attorney General's Departments","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","South West (England)","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Yorkshire and The Humber","10","10","34820","27000"
"In post","2021","Attorney General's Departments","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","London","75","75","49350","54760"
"In post","2021","Attorney General's Departments","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","London","25","20","37080","32080"
"In post","2021","Attorney General's Departments","Security","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","South East (England)","[c]","[c]","[c]","[c]"
