"Status","Year","Parent_department","Region_ITL2","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Female","35","30","28850","29170"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Female","35","30","58880","60710"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","G6/G7","Male","40","40","59210","62140"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Female","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","20","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Female","40","35","59620","62120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","EO","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","AA/AO","Female","15","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","G6/G7","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","Female","55","50","21400","21950"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","AA/AO","Male","20","20","[c]","[c]"
