"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","AA/AO","Heterosexual / straight","35","35","24470","24900"
"In post","2021","Analysis","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","London","EO","Heterosexual / straight","155","150","28870","28600"
"In post","2021","Analysis","London","EO","LGBO","20","15","[c]","[c]"
"In post","2021","Analysis","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","London","EO","Unknown","70","70","28700","28820"
"In post","2021","Analysis","London","G6/G7","Heterosexual / straight","950","905","62580","59160"
"In post","2021","Analysis","London","G6/G7","LGBO","85","80","60810","59130"
"In post","2021","Analysis","London","G6/G7","Undeclared","115","110","64050","59540"
"In post","2021","Analysis","London","G6/G7","Unknown","290","280","60440","57850"
"In post","2021","Analysis","London","SCS level","Heterosexual / straight","90","85","89170","80920"
"In post","2021","Analysis","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","London","SEO/HEO","Heterosexual / straight","1060","1040","37970","36200"
"In post","2021","Analysis","London","SEO/HEO","LGBO","110","110","37430","36160"
"In post","2021","Analysis","London","SEO/HEO","Undeclared","115","110","38800","37890"
"In post","2021","Analysis","London","SEO/HEO","Unknown","285","280","37410","36160"
"In post","2021","Analysis","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","Heterosexual / straight","70","65","20440","21050"
"In post","2021","Analysis","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Outside London","AA/AO","Unknown","60","55","20110","19520"
"In post","2021","Analysis","Outside London","EO","Heterosexual / straight","260","245","25290","25000"
"In post","2021","Analysis","Outside London","EO","LGBO","35","35","25040","24920"
"In post","2021","Analysis","Outside London","EO","Undeclared","25","20","[c]","[c]"
"In post","2021","Analysis","Outside London","EO","Unknown","150","135","24810","24920"
"In post","2021","Analysis","Outside London","G6/G7","Heterosexual / straight","675","645","52820","50620"
"In post","2021","Analysis","Outside London","G6/G7","LGBO","30","30","53160","51610"
"In post","2021","Analysis","Outside London","G6/G7","Undeclared","60","55","53380","50670"
"In post","2021","Analysis","Outside London","G6/G7","Unknown","210","200","52680","50090"
"In post","2021","Analysis","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Outside London","SEO/HEO","Heterosexual / straight","1325","1265","34640","35900"
"In post","2021","Analysis","Outside London","SEO/HEO","LGBO","125","125","33730","32240"
"In post","2021","Analysis","Outside London","SEO/HEO","Undeclared","135","130","34750","33960"
"In post","2021","Analysis","Outside London","SEO/HEO","Unknown","540","520","33670","31810"
"In post","2021","Analysis","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Heterosexual / straight","60","55","24780","24590"
"In post","2021","Commercial","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","London","EO","Heterosexual / straight","110","110","29120","29120"
"In post","2021","Commercial","London","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","London","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","London","EO","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","London","G6/G7","Heterosexual / straight","280","275","65040","63400"
"In post","2021","Commercial","London","G6/G7","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","London","G6/G7","Undeclared","35","30","70440","66900"
"In post","2021","Commercial","London","G6/G7","Unknown","325","325","65650","61070"
"In post","2021","Commercial","London","SCS level","Heterosexual / straight","95","95","112030","102840"
"In post","2021","Commercial","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Unknown","250","245","93750","74000"
"In post","2021","Commercial","London","SEO/HEO","Heterosexual / straight","395","390","41670","40650"
"In post","2021","Commercial","London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","London","SEO/HEO","Undeclared","45","45","39820","39440"
"In post","2021","Commercial","London","SEO/HEO","Unknown","125","125","40910","40650"
"In post","2021","Commercial","London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Heterosexual / straight","270","255","21630","21050"
"In post","2021","Commercial","Outside London","AA/AO","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","Outside London","AA/AO","Undeclared","50","45","21270","21140"
"In post","2021","Commercial","Outside London","AA/AO","Unknown","85","80","22000","21130"
"In post","2021","Commercial","Outside London","EO","Heterosexual / straight","505","480","26360","26670"
"In post","2021","Commercial","Outside London","EO","LGBO","25","25","[c]","[c]"
