"Status","Year","Disability","Region_ITL2","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Heterosexual / straight","80","75","30480","28500"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Bedford","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Heterosexual / straight","35","35","31140","26670"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","Heterosexual / straight","220","205","33350","30070"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Luton","Heterosexual / straight","60","55","25780","27370"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Luton","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Luton","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Luton","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Heterosexual / straight","240","230","33430","31810"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Undeclared","40","40","33520","29290"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Heterosexual / straight","150","145","30660","28200"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Heterosexual / straight","165","155","30280","27570"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Heterosexual / straight","215","200","31370","29530"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire East","Heterosexual / straight","65","60","30700","27570"
"In post","2021","Declared disabled","Cheshire","Cheshire East","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire East","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire East","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire West and Chester","Heterosexual / straight","65","60","25340","27570"
"In post","2021","Declared disabled","Cheshire","Cheshire West and Chester","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire West and Chester","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Warrington","Heterosexual / straight","190","170","29550","27570"
"In post","2021","Declared disabled","Cheshire","Warrington","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Warrington","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Warrington","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Heterosexual / straight","155","140","26980","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","East Cumbria","Heterosexual / straight","80","75","27760","26520"
"In post","2021","Declared disabled","Cumbria","East Cumbria","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","East Cumbria","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","East Cumbria","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","West Cumbria","Heterosexual / straight","80","70","29420","27460"
"In post","2021","Declared disabled","Cumbria","West Cumbria","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","West Cumbria","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","West Cumbria","Unknown","35","30","23100","21050"
