"Status","Year","Disability","Parent_department","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Leicester","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","Nottingham","30","30","38930","32290"
"In post","2021","Declared disabled","Attorney General's Departments","East Midlands (England)","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Heart of Essex","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Hertfordshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Norwich and East Norfolk","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Croydon","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","London","Westminster","360","335","50310","51510"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","South Teesside","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North East (England)","Tyneside","30","30","34820","28430"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","East Cumbria","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Liverpool","45","40","39210","34480"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Manchester","35","35","42740","48830"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Mid Lancashire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","North West (England)","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","Berkshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","Brighton and Hove","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","East Kent","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","Portsmouth","10","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","South Hampshire","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","West Surrey","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South East (England)","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Bristol, City of","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Devon CC","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","South West (England)","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Cardiff and Vale of Glamorgan","25","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Flintshire and Wrexham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Wales","Swansea","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Birmingham","45","40","40120","38760"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Stoke-on-Trent","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Wolverhampton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","West Midlands (England)","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Kingston upon Hull, City of","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Leeds","30","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Sheffield","15","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","Wakefield","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Yorkshire and The Humber","York","40","40","48340","53420"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","East of England","Norwich and East Norfolk","10","10","[c]","[c]"
