"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA","Female","Heterosexual / straight","360","325","19310","19560"
"In post","2021","East Midlands (England)","AA","Female","LGBO","25","25","[c]","[c]"
"In post","2021","East Midlands (England)","AA","Female","Undeclared","60","55","19040","19560"
"In post","2021","East Midlands (England)","AA","Female","Unknown","105","90","19740","20600"
"In post","2021","East Midlands (England)","AA","Male","Heterosexual / straight","340","330","19670","20070"
"In post","2021","East Midlands (England)","AA","Male","LGBO","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","AA","Male","Undeclared","45","40","19120","19180"
"In post","2021","East Midlands (England)","AA","Male","Unknown","120","110","20030","20600"
"In post","2021","East Midlands (England)","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AO","Female","Heterosexual / straight","2515","2165","21400","21010"
"In post","2021","East Midlands (England)","AO","Female","LGBO","140","135","23740","22350"
"In post","2021","East Midlands (England)","AO","Female","Undeclared","355","305","21720","21010"
"In post","2021","East Midlands (England)","AO","Female","Unknown","920","780","21500","21010"
"In post","2021","East Midlands (England)","AO","Male","Heterosexual / straight","1895","1830","23810","22350"
"In post","2021","East Midlands (England)","AO","Male","LGBO","105","105","22810","21010"
"In post","2021","East Midlands (England)","AO","Male","Undeclared","230","220","23770","21440"
"In post","2021","East Midlands (England)","AO","Male","Unknown","770","730","23310","21050"
"In post","2021","East Midlands (England)","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Female","Heterosexual / straight","2280","2045","26770","27570"
"In post","2021","East Midlands (England)","EO","Female","LGBO","135","130","26890","27570"
"In post","2021","East Midlands (England)","EO","Female","Undeclared","335","290","26890","27570"
"In post","2021","East Midlands (England)","EO","Female","Unknown","750","655","26870","27570"
"In post","2021","East Midlands (England)","EO","Male","Heterosexual / straight","1635","1590","27420","27570"
"In post","2021","East Midlands (England)","EO","Male","LGBO","125","120","26850","27570"
"In post","2021","East Midlands (England)","EO","Male","Undeclared","265","245","27500","27380"
"In post","2021","East Midlands (England)","EO","Male","Unknown","595","570","27260","27380"
"In post","2021","East Midlands (England)","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Female","Heterosexual / straight","105","100","66270","64670"
"In post","2021","East Midlands (England)","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Female","Unknown","25","20","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Male","Heterosexual / straight","90","85","71320","67530"
"In post","2021","East Midlands (England)","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Male","Unknown","25","25","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G7","Female","Heterosexual / straight","405","375","53850","52580"
"In post","2021","East Midlands (England)","G7","Female","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","G7","Female","Undeclared","50","50","54810","52580"
"In post","2021","East Midlands (England)","G7","Female","Unknown","90","85","54720","52580"
"In post","2021","East Midlands (England)","G7","Male","Heterosexual / straight","415","405","55790","52580"
"In post","2021","East Midlands (England)","G7","Male","LGBO","20","20","[c]","[c]"
"In post","2021","East Midlands (England)","G7","Male","Undeclared","50","50","55630","52770"
"In post","2021","East Midlands (England)","G7","Male","Unknown","85","85","53700","52580"
"In post","2021","East Midlands (England)","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","HEO","Female","Heterosexual / straight","1060","985","32110","31810"
"In post","2021","East Midlands (England)","HEO","Female","LGBO","50","50","32410","31910"
"In post","2021","East Midlands (England)","HEO","Female","Undeclared","145","135","32510","31990"
"In post","2021","East Midlands (England)","HEO","Female","Unknown","315","295","32190","31810"
"In post","2021","East Midlands (England)","HEO","Male","Heterosexual / straight","940","915","33180","31990"
"In post","2021","East Midlands (England)","HEO","Male","LGBO","45","45","32270","31810"
"In post","2021","East Midlands (England)","HEO","Male","Undeclared","155","150","33610","33250"
