"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","AA","Female","20","15","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","AA","Male","20","20","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","AO","Female","395","315","20610","20200"
"In post","2021","Asian","East Midlands (England)","AO","Male","295","275","21200","21010"
"In post","2021","Asian","East Midlands (England)","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","EO","Female","285","250","26770","27570"
"In post","2021","Asian","East Midlands (England)","EO","Male","230","225","26620","27570"
"In post","2021","Asian","East Midlands (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G6","Male","5","5","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G7","Female","40","35","53130","52580"
"In post","2021","Asian","East Midlands (England)","G7","Male","30","25","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","HEO","Female","95","90","31410","31810"
"In post","2021","Asian","East Midlands (England)","HEO","Male","120","115","32230","31810"
"In post","2021","Asian","East Midlands (England)","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","SEO","Female","50","50","38980","38630"
"In post","2021","Asian","East Midlands (England)","SEO","Male","40","40","40190","38630"
"In post","2021","Asian","East Midlands (England)","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Unknown","Female","55","50","28580","28200"
"In post","2021","Asian","East Midlands (England)","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Asian","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","AA","Female","15","10","[c]","[c]"
"In post","2021","Asian","East of England","AA","Male","15","15","[c]","[c]"
"In post","2021","Asian","East of England","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","AO","Female","220","175","22390","21430"
"In post","2021","Asian","East of England","AO","Male","125","115","23390","21430"
"In post","2021","Asian","East of England","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","EO","Female","255","230","28060","27570"
"In post","2021","Asian","East of England","EO","Male","180","175","28030","27570"
"In post","2021","Asian","East of England","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","G6","Male","5","5","[c]","[c]"
"In post","2021","Asian","East of England","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","G7","Female","20","20","[c]","[c]"
"In post","2021","Asian","East of England","G7","Male","20","20","[c]","[c]"
"In post","2021","Asian","East of England","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","HEO","Female","65","60","34200","34000"
"In post","2021","Asian","East of England","HEO","Male","65","60","34330","34000"
"In post","2021","Asian","East of England","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","SEO","Female","40","35","41340","40850"
"In post","2021","Asian","East of England","SEO","Male","45","45","44470","41520"
"In post","2021","Asian","East of England","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","Female","30","30","26170","23840"
"In post","2021","Asian","East of England","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Asian","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","AA","Female","125","105","21890","22210"
"In post","2021","Asian","London","AA","Male","145","140","22400","22210"
"In post","2021","Asian","London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","AO","Female","1390","1180","24700","25110"
"In post","2021","Asian","London","AO","Male","765","735","25790","25110"
"In post","2021","Asian","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","EO","Female","2815","2545","29850","30110"
"In post","2021","Asian","London","EO","Male","1745","1700","29770","29970"
"In post","2021","Asian","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","G6","Female","270","255","68510","66830"
"In post","2021","Asian","London","G6","Male","190","190","70130","68720"
"In post","2021","Asian","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","G7","Female","930","895","56180","54770"
"In post","2021","Asian","London","G7","Male","700","690","57340","57430"
"In post","2021","Asian","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","HEO","Female","1525","1465","35300","35200"
"In post","2021","Asian","London","HEO","Male","1065","1045","35650","35220"
"In post","2021","Asian","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SCS level","Female","115","110","90300","79930"
"In post","2021","Asian","London","SCS level","Male","105","100","93540","90000"
"In post","2021","Asian","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","SEO","Female","875","850","42280","41970"
"In post","2021","Asian","London","SEO","Male","675","665","43170","42000"
"In post","2021","Asian","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","London","Unknown","Female","95","90","32490","32090"
"In post","2021","Asian","London","Unknown","Male","35","35","31180","32090"
"In post","2021","Asian","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","North East (England)","AA","Male","5","5","[c]","[c]"
