"Status","Year","Ethnicity","Parent_department","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Counter Fraud","London","20","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Digital, Data and Technology","London","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Finance","London","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Human Resources","London","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Legal","London","305","285","56400","52310"
"In post","2021","Asian","Attorney General's Departments","Legal","Outside London","165","150","50320","49820"
"In post","2021","Asian","Attorney General's Departments","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Operational Delivery","London","155","140","28250","24590"
"In post","2021","Asian","Attorney General's Departments","Operational Delivery","Outside London","130","120","25190","23470"
"In post","2021","Asian","Attorney General's Departments","Other","London","50","50","30300","27580"
"In post","2021","Asian","Attorney General's Departments","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Policy","London","5","5","[c]","[c]"
