"Status","Year","Age","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - West","EO","25","25","26130","26250"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","EO","20","20","19570","19040"
"In post","2021","16-19","Finance","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Finance","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Inner London - West","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Bedfordshire and Hertfordshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Derbyshire and Nottinghamshire","AA/AO","15","15","21250","20880"
"In post","2021","16-19","Operational Delivery","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Anglia","AA/AO","20","15","22700","21430"
"In post","2021","16-19","Operational Delivery","East Wales","AA/AO","30","25","20390","20140"
"In post","2021","16-19","Operational Delivery","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Eastern Scotland","AA/AO","15","15","21410","20850"
"In post","2021","16-19","Operational Delivery","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Essex","AA/AO","10","10","21860","21430"
"In post","2021","16-19","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","15","10","20320","19630"
"In post","2021","16-19","Operational Delivery","Greater Manchester","AA/AO","15","15","19920","20140"
"In post","2021","16-19","Operational Delivery","Hampshire and Isle of Wight","AA/AO","10","10","20210","19130"
"In post","2021","16-19","Operational Delivery","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inner London - East","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inner London - West","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Kent","AA/AO","35","35","21820","21430"
"In post","2021","16-19","Operational Delivery","Lancashire","AA/AO","10","10","20460","20600"
"In post","2021","16-19","Operational Delivery","Leicestershire, Rutland and Northamptonshire","AA/AO","10","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Merseyside","AA/AO","20","15","20950","21430"
"In post","2021","16-19","Operational Delivery","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northumberland and Tyne and Wear","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Outer London - East and North East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Outer London - South","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Outer London - West and North West","AA/AO","10","5","21100","22040"
"In post","2021","16-19","Operational Delivery","Shropshire and Staffordshire","AA/AO","10","10","21930","22850"
"In post","2021","16-19","Operational Delivery","South Yorkshire","AA/AO","10","10","20430","20600"
"In post","2021","16-19","Operational Delivery","Southern Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Surrey, East and West Sussex","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Tees Valley and Durham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Central Scotland","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands","AA/AO","15","15","20060","19930"
"In post","2021","16-19","Operational Delivery","West Midlands","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Wales and The Valleys","AA/AO","45","35","19640","18060"
"In post","2021","16-19","Operational Delivery","West Yorkshire","AA/AO","15","15","20140","20140"
"In post","2021","16-19","Operational Research","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Gloucestershire, Wiltshire and Bath/Bristol area","EO","20","20","17870","17780"
"In post","2021","16-19","Other","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
