"Status","Year","Age","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Prosecution Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Equipment and Support","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Defence Science and Technology Laboratory","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Department for Education (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
