"Status","Year","Parent_department","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AA","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","London","AO","Female","270","245","23270","23520"
"In post","2021","Attorney General's Departments","London","AO","Male","135","135","23270","23520"
"In post","2021","Attorney General's Departments","London","EO","Female","480","450","28560","27760"
"In post","2021","Attorney General's Departments","London","EO","Male","260","250","28780","28540"
"In post","2021","Attorney General's Departments","London","G6","Female","555","495","68030","66290"
"In post","2021","Attorney General's Departments","London","G6","Male","370","360","69440","67420"
"In post","2021","Attorney General's Departments","London","G7","Female","1070","975","55250","51940"
"In post","2021","Attorney General's Departments","London","G7","Male","550","540","56390","54080"
"In post","2021","Attorney General's Departments","London","HEO","Female","290","280","36160","33930"
"In post","2021","Attorney General's Departments","London","HEO","Male","190","190","35570","33930"
"In post","2021","Attorney General's Departments","London","SCS level","Female","150","140","86820","80950"
"In post","2021","Attorney General's Departments","London","SCS level","Male","105","105","87640","82720"
"In post","2021","Attorney General's Departments","London","SEO","Female","110","110","40560","39890"
"In post","2021","Attorney General's Departments","London","SEO","Male","120","120","40730","40170"
"In post","2021","Attorney General's Departments","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","AA","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","AO","Female","840","750","22010","21950"
"In post","2021","Attorney General's Departments","Outside London","AO","Male","270","265","21960","21950"
"In post","2021","Attorney General's Departments","Outside London","EO","Female","750","675","27700","28430"
"In post","2021","Attorney General's Departments","Outside London","EO","Male","265","265","27440","27570"
"In post","2021","Attorney General's Departments","Outside London","G6","Female","80","80","69760","68320"
"In post","2021","Attorney General's Departments","Outside London","G6","Male","80","80","74070","71130"
"In post","2021","Attorney General's Departments","Outside London","G7","Female","1240","1095","54730","55610"
"In post","2021","Attorney General's Departments","Outside London","G7","Male","815","785","55830","55610"
"In post","2021","Attorney General's Departments","Outside London","HEO","Female","395","370","34860","34480"
"In post","2021","Attorney General's Departments","Outside London","HEO","Male","195","190","34630","34480"
"In post","2021","Attorney General's Departments","Outside London","SCS level","Female","30","30","87490","83640"
"In post","2021","Attorney General's Departments","Outside London","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","SEO","Female","95","95","39740","38540"
"In post","2021","Attorney General's Departments","Outside London","SEO","Male","50","50","39640","38540"
"In post","2021","Attorney General's Departments","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","AO","Female","75","70","24440","24490"
"In post","2021","Cabinet Office","London","AO","Male","65","65","24500","24490"
"In post","2021","Cabinet Office","London","EO","Female","355","345","27970","27500"
"In post","2021","Cabinet Office","London","EO","Male","245","245","27950","27500"
"In post","2021","Cabinet Office","London","G6","Female","335","330","69020","66440"
"In post","2021","Cabinet Office","London","G6","Male","305","300","70610","67930"
"In post","2021","Cabinet Office","London","G7","Female","840","815","55770","54700"
"In post","2021","Cabinet Office","London","G7","Male","885","880","56450","54700"
"In post","2021","Cabinet Office","London","HEO","Female","1220","1210","32170","32000"
"In post","2021","Cabinet Office","London","HEO","Male","910","910","32730","33250"
"In post","2021","Cabinet Office","London","SCS level","Female","330","315","88620","77430"
"In post","2021","Cabinet Office","London","SCS level","Male","430","430","99240","90640"
"In post","2021","Cabinet Office","London","SEO","Female","295","290","41430","40600"
"In post","2021","Cabinet Office","London","SEO","Male","205","205","41350","40600"
"In post","2021","Cabinet Office","Outside London","AO","Female","225","200","20900","20800"
"In post","2021","Cabinet Office","Outside London","AO","Male","165","160","20870","20800"
"In post","2021","Cabinet Office","Outside London","EO","Female","165","150","25500","25550"
"In post","2021","Cabinet Office","Outside London","EO","Male","95","95","25700","26570"
"In post","2021","Cabinet Office","Outside London","G6","Female","95","90","72640","68020"
"In post","2021","Cabinet Office","Outside London","G6","Male","90","90","74460","69080"
"In post","2021","Cabinet Office","Outside London","G7","Female","190","185","52180","51280"
"In post","2021","Cabinet Office","Outside London","G7","Male","205","205","52470","51560"
"In post","2021","Cabinet Office","Outside London","HEO","Female","375","365","31560","32000"
"In post","2021","Cabinet Office","Outside London","HEO","Male","335","330","31840","32440"
"In post","2021","Cabinet Office","Outside London","SCS level","Female","80","80","83140","70860"
"In post","2021","Cabinet Office","Outside London","SCS level","Male","110","110","81370","72000"
"In post","2021","Cabinet Office","Outside London","SEO","Female","135","130","38660","38420"
"In post","2021","Cabinet Office","Outside London","SEO","Male","85","85","39080","38890"
"In post","2021","Cabinet Office","Overseas","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AO","Female","15","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AO","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","Female","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","EO","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6","Female","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G6","Male","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G7","Female","30","25","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","G7","Male","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","HEO","Female","225","225","30870","32000"
"In post","2021","Cabinet Office","Unknown","HEO","Male","200","200","31040","32000"
"In post","2021","Cabinet Office","Unknown","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","SEO","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AA","Female","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AO","Female","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","AO","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","Female","25","20","[c]","[c]"
"In post","2021","Chancellor's other departments","London","EO","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","G6","Female","45","35","82840","78090"
"In post","2021","Chancellor's other departments","London","G6","Male","60","60","94840","89720"
"In post","2021","Chancellor's other departments","London","G7","Female","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","London","G7","Male","35","35","56410","57250"
"In post","2021","Chancellor's other departments","London","HEO","Female","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","London","HEO","Male","40","35","36340","36360"
"In post","2021","Chancellor's other departments","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO","Female","30","25","[c]","[c]"
"In post","2021","Chancellor's other departments","London","SEO","Male","35","35","46960","46090"
"In post","2021","Chancellor's other departments","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G6","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO","Female","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","G6","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","G6","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","G7","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","HEO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","HEO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","SEO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","SEO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","AO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","EO","Female","60","55","24770","24440"
"In post","2021","Charity Commission","Outside London","EO","Male","45","40","24800","24440"
"In post","2021","Charity Commission","Outside London","G6","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G6","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G7","Female","20","15","[c]","[c]"
"In post","2021","Charity Commission","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","HEO","Female","70","65","29530","29160"
"In post","2021","Charity Commission","Outside London","HEO","Male","55","50","29400","29160"
"In post","2021","Charity Commission","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","SEO","Female","40","35","37920","37910"
"In post","2021","Charity Commission","Outside London","SEO","Male","40","40","38450","37910"
"In post","2021","Competition and Markets Authority","London","AO","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","AO","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","EO","Female","40","35","28670","28160"
"In post","2021","Competition and Markets Authority","London","EO","Male","35","35","28520","28160"
"In post","2021","Competition and Markets Authority","London","G6","Female","90","85","76410","76070"
"In post","2021","Competition and Markets Authority","London","G6","Male","90","90","76960","76290"
"In post","2021","Competition and Markets Authority","London","G7","Female","110","105","57610","56360"
"In post","2021","Competition and Markets Authority","London","G7","Male","100","100","58210","57000"
"In post","2021","Competition and Markets Authority","London","HEO","Female","75","70","35540","34870"
"In post","2021","Competition and Markets Authority","London","HEO","Male","60","60","35040","34570"
"In post","2021","Competition and Markets Authority","London","SCS level","Female","45","45","107840","99920"
"In post","2021","Competition and Markets Authority","London","SCS level","Male","60","60","111150","102280"
"In post","2021","Competition and Markets Authority","London","SEO","Female","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","SEO","Male","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G6","Male","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G7","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","G7","Male","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","HEO","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA","Female","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AA","Male","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AO","Female","90","85","25410","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","AO","Male","50","50","25740","25060"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","Female","250","245","28500","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","EO","Male","165","165","29040","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6","Female","285","265","67830","65460"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G6","Male","360","350","68650","66500"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G7","Female","805","770","55360","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","G7","Male","915","910","55690","53600"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","HEO","Female","635","625","34740","33570"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","HEO","Male","625","620","35190","33640"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","Female","145","135","82100","75000"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SCS level","Male","180","180","85220","76390"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO","Female","520","510","41790","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","SEO","Male","580","575","42200","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA","Female","45","40","18990","18900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AA","Male","40","35","19110","18900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AO","Female","805","710","21410","20940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","AO","Male","455","445","21250","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","Female","860","790","25420","24700"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","EO","Male","665","655","26400","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6","Female","110","105","63550","63190"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G6","Male","185","175","64210","63020"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G7","Female","355","335","52020","50120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","G7","Male","600","580","53430","52460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","HEO","Female","880","815","32950","32060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","HEO","Male","870","850","34100","33860"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Male","40","40","83020","75160"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO","Female","655","610","41600","40040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","SEO","Male","915","885","42140","40950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","EO","Male","[c]","[c]","[c]","[c]"
