"Status","Year","Profession_of_post","Region_ITL3","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Barnet","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Heterosexual / straight","895","860","39620","37400"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","LGBO","40","40","34570","32050"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Undeclared","135","125","42410","39580"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","95","90","38240","34800"
"In post","2021","Commercial","Bedford","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","Heterosexual / straight","50","50","40340","38130"
"In post","2021","Commercial","Birmingham","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
