"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","Manchester","15","15","37080","33190"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","Westminster","75","70","46510","45250"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","Sheffield","55","50","44750","42420"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","Darlington","20","20","41450","42320"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","Coventry","5","5","[c]","[c]"
