"Status","Year","Disability","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Communications","Inner London - West","85","85","43800","40640"
"In post","2021","Declared disabled","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","South Yorkshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Inner London - West","5","5","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Greater Manchester","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Inner London - West","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Merseyside","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","West Midlands","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Cheshire","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Devon","60","55","35430","33860"
"In post","2021","Declared disabled","Digital, Data and Technology","Dorset and Somerset","35","30","36020","33290"
"In post","2021","Declared disabled","Digital, Data and Technology","East Anglia","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","East Wales","65","60","39890","37030"
"In post","2021","Declared disabled","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Eastern Scotland","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Essex","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","100","95","38210","37360"
"In post","2021","Declared disabled","Digital, Data and Technology","Greater Manchester","35","35","38900","36500"
"In post","2021","Declared disabled","Digital, Data and Technology","Hampshire and Isle of Wight","40","40","34380","33000"
"In post","2021","Declared disabled","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Inner London - East","35","35","47440","43720"
"In post","2021","Declared disabled","Digital, Data and Technology","Inner London - West","145","140","46100","41750"
"In post","2021","Declared disabled","Digital, Data and Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Lancashire","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Lincolnshire","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Merseyside","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","North Yorkshire","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Northumberland and Tyne and Wear","40","35","38310","36780"
"In post","2021","Declared disabled","Digital, Data and Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Outer London - South","30","30","50430","46280"
"In post","2021","Declared disabled","Digital, Data and Technology","Outer London - West and North West","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Shropshire and Staffordshire","35","30","38770","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","South Yorkshire","40","40","42090","37920"
"In post","2021","Declared disabled","Digital, Data and Technology","Southern Scotland","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Surrey, East and West Sussex","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Tees Valley and Durham","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","West Central Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","West Midlands","40","40","38350","35000"
"In post","2021","Declared disabled","Digital, Data and Technology","West Wales and The Valleys","50","45","38600","33350"
"In post","2021","Declared disabled","Digital, Data and Technology","West Yorkshire","25","25","[c]","[c]"
"In post","2021","Declared disabled","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","East Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Inner London - East","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","Inner London - West","70","70","47610","51970"
"In post","2021","Declared disabled","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","Southern Scotland","[c]","[c]","[c]","[c]"
